Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
2.38,I,7,0,1,7,59,4
2.5,I,7,0,1,7,59,4
2.62,I,7,0,1,7,60,5
2.75,I,7,0,1,7,57,2
2.88,I,7,0,1,7,59,4
4.0,IV,0,5,4,7,59,4
4.38,IV,0,5,4,7,60,5
4.5,IV,0,5,4,7,60,5
4.62,IV,0,5,4,7,60,5
4.69,IV,0,5,4,7,62,7
4.88,IV,0,5,4,7,60,5
6.0,V,2,7,5,7,60,5
6.38,V,2,7,5,7,62,7
6.5,V,2,7,5,7,62,7
6.62,V,2,7,5,7,62,7
6.88,V,2,7,5,7,62,7
6.94,V,2,7,5,7,60,5
7.0,IV,0,5,4,7,60,5
7.12,IV,0,5,4,7,60,5
7.38,IV,0,5,4,7,60,5
7.62,IV,0,5,4,7,60,5
7.69,IV,0,5,4,7,62,7
7.88,IV,0,5,4,7,60,5
8.0,IV,0,5,4,7,59,4
8.0,I,7,0,1,7,59,4
8.19,I,7,0,1,7,59,4
8.25,I,7,0,1,7,57,2
8.38,I,7,0,1,7,59,4
8.44,I,7,0,1,7,57,2
8.5,I,7,0,1,7,55,0
10.5,I,7,0,1,7,59,4
10.62,I,7,0,1,7,60,5
10.75,I,7,0,1,7,57,2
10.88,I,7,0,1,7,59,4
12.0,IV,0,5,4,7,59,4
12.25,IV,0,5,4,7,60,5
12.38,IV,0,5,4,7,60,5
12.5,IV,0,5,4,7,60,5
12.62,IV,0,5,4,7,62,7
12.75,IV,0,5,4,7,59,4
12.88,IV,0,5,4,7,60,5
14.0,V,2,7,5,7,60,5
14.25,V,2,7,5,7,62,7
14.38,V,2,7,5,7,62,7
14.5,V,2,7,5,7,62,7
14.62,V,2,7,5,7,62,7
14.88,V,2,7,5,7,62,7
15.0,V,2,7,5,7,60,5
15.0,IV,0,5,4,7,60,5
15.12,IV,0,5,4,7,60,5
15.38,IV,0,5,4,7,60,5
15.5,IV,0,5,4,7,59,4
15.62,IV,0,5,4,7,59,4
15.88,IV,0,5,4,7,59,4
