Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
24.0,I,1,0,1,1,68,7
24.12,I,1,0,1,1,68,7
24.25,I,1,0,1,1,68,7
24.38,I,1,0,1,1,68,7
24.75,I,1,0,1,1,66,5
24.88,I,1,0,1,1,65,4
25.0,I,1,0,1,1,66,5
25.25,I,1,0,1,1,68,7
25.38,I,1,0,1,1,64,3
25.62,I,1,0,1,1,63,2
25.75,I,1,0,1,1,61,0
25.88,I,1,0,1,1,66,5
26.0,bVII,11,10,7,1,66,5
26.12,bVII,11,10,7,1,65,4
26.25,bVII,11,10,7,1,61,0
26.38,bVII,11,10,7,1,66,5
26.75,bVII,11,10,7,1,66,5
27.12,bVII,11,10,7,1,66,5
27.25,bVII,11,10,7,1,65,4
27.38,bVII,11,10,7,1,63,2
27.62,bVII,11,10,7,1,61,0
27.75,bVII,11,10,7,1,61,0
27.88,bVII,11,10,7,1,66,5
28.0,IV,6,5,4,1,66,5
28.12,IV,6,5,4,1,65,4
28.25,IV,6,5,4,1,61,0
28.38,IV,6,5,4,1,66,5
28.62,IV,6,5,4,1,65,4
28.75,IV,6,5,4,1,61,0
28.88,IV,6,5,4,1,66,5
29.12,IV,6,5,4,1,65,4
29.25,IV,6,5,4,1,61,0
29.38,IV,6,5,4,1,66,5
29.62,IV,6,5,4,1,66,5
29.88,IV,6,5,4,1,66,5
30.0,I,1,0,1,1,66,5
30.12,I,1,0,1,1,65,4
32.0,I,1,0,1,1,68,7
32.12,I,1,0,1,1,68,7
32.38,I,1,0,1,1,68,7
32.75,I,1,0,1,1,66,5
32.88,I,1,0,1,1,65,4
33.0,I,1,0,1,1,66,5
33.12,I,1,0,1,1,68,7
33.38,I,1,0,1,1,65,4
33.75,I,1,0,1,1,68,7
34.0,bVII,11,10,7,1,68,7
34.0,bVII,11,10,7,1,66,5
34.12,bVII,11,10,7,1,65,4
34.25,bVII,11,10,7,1,61,0
34.38,bVII,11,10,7,1,66,5
34.62,bVII,11,10,7,1,65,4
34.75,bVII,11,10,7,1,61,0
35.0,bVII,11,10,7,1,66,5
35.12,bVII,11,10,7,1,66,5
35.25,bVII,11,10,7,1,68,7
35.38,bVII,11,10,7,1,66,5
35.62,bVII,11,10,7,1,65,4
