Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
10.0,I,4,0,1,4,59,7
10.19,I,4,0,1,4,59,7
10.25,I,4,0,1,4,59,7
10.5,I,4,0,1,4,59,7
10.69,I,4,0,1,4,59,7
10.75,I,4,0,1,4,59,7
10.88,I,4,0,1,4,59,7
11.0,I,4,0,1,4,59,7
11.0,bVII,2,10,7,4,59,7
11.19,bVII,2,10,7,4,57,5
11.44,bVII,2,10,7,4,57,5
11.81,bVII,2,10,7,4,57,5
11.94,bVII,2,10,7,4,57,5
12.0,IV,9,5,4,4,57,5
12.0,IV,9,5,4,4,57,5
12.38,IV,9,5,4,4,57,5
12.44,IV,9,5,4,4,57,5
12.5,IV,9,5,4,4,56,4
12.88,IV,9,5,4,4,57,5
13.0,IV,9,5,4,4,59,7
13.0,I,4,0,1,4,59,7
14.12,I,4,0,1,4,54,2
14.25,I,4,0,1,4,59,7
14.31,I,4,0,1,4,59,7
14.38,I,4,0,1,4,59,7
14.62,I,4,0,1,4,59,7
14.69,I,4,0,1,4,59,7
14.81,I,4,0,1,4,59,7
14.88,I,4,0,1,4,61,9
15.0,bVII,2,10,7,4,61,9
15.12,bVII,2,10,7,4,59,7
15.19,bVII,2,10,7,4,57,5
15.38,bVII,2,10,7,4,57,5
15.88,bVII,2,10,7,4,57,5
16.0,IV,9,5,4,4,57,5
16.0,IV,9,5,4,4,57,5
16.06,IV,9,5,4,4,57,5
16.12,IV,9,5,4,4,55,3
16.19,IV,9,5,4,4,57,5
16.75,IV,9,5,4,4,57,5
16.88,IV,9,5,4,4,55,3
17.0,IV,9,5,4,4,59,7
17.0,I,4,0,1,4,59,7
18.25,I,4,0,1,4,59,7
18.38,I,4,0,1,4,59,7
18.5,I,4,0,1,4,59,7
18.75,I,4,0,1,4,59,7
18.94,I,4,0,1,4,61,9
19.0,bVII,2,10,7,4,61,9
19.19,bVII,2,10,7,4,59,7
19.25,bVII,2,10,7,4,57,5
19.44,bVII,2,10,7,4,57,5
19.75,bVII,2,10,7,4,57,5
19.88,bVII,2,10,7,4,57,5
20.0,IV,9,5,4,4,57,5
20.0,IV,9,5,4,4,57,5
20.12,IV,9,5,4,4,57,5
20.56,IV,9,5,4,4,54,2
20.62,IV,9,5,4,4,57,5
20.69,IV,9,5,4,4,56,4
20.88,IV,9,5,4,4,54,2
21.0,IV,9,5,4,4,59,7
21.0,I,4,0,1,4,59,7
22.25,I,4,0,1,4,59,7
22.38,I,4,0,1,4,59,7
22.62,I,4,0,1,4,59,7
22.88,I,4,0,1,4,59,7
23.0,I,4,0,1,4,59,7
23.0,bVII,2,10,7,4,59,7
23.19,bVII,2,10,7,4,57,5
23.75,bVII,2,10,7,4,57,5
23.88,bVII,2,10,7,4,57,5
24.0,IV,9,5,4,4,57,5
24.0,IV,9,5,4,4,57,5
24.56,IV,9,5,4,4,52,0
