Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
14.12,Id7,4,0,1,4,67,3
14.25,Id7,4,0,1,4,67,3
14.38,Id7,4,0,1,4,67,3
14.5,Id7,4,0,1,4,67,3
14.88,Id7,4,0,1,4,59,7
15.0,Id7,4,0,1,4,62,10
15.06,Id7,4,0,1,4,62,10
15.12,Id7,4,0,1,4,62,10
15.25,Id7,4,0,1,4,62,10
15.38,Id7,4,0,1,4,64,0
15.5,bVII,2,10,7,4,64,0
15.75,IV,9,5,4,4,64,0
16.0,Id7,4,0,1,4,64,0
16.12,Id7,4,0,1,4,62,10
16.19,Id7,4,0,1,4,62,10
16.38,Id7,4,0,1,4,62,10
16.5,Id7,4,0,1,4,62,10
16.62,Id7,4,0,1,4,64,0
16.88,Id7,4,0,1,4,64,0
17.0,Id7,4,0,1,4,62,10
17.12,Id7,4,0,1,4,58,6
17.25,Id7,4,0,1,4,57,5
17.38,Id7,4,0,1,4,57,5
17.5,Id7,4,0,1,4,55,3
17.5,bVII,2,10,7,4,55,3
17.75,IV,9,5,4,4,55,3
18.0,Id7,4,0,1,4,55,3
18.12,Id7,4,0,1,4,62,10
18.25,Id7,4,0,1,4,62,10
18.38,Id7,4,0,1,4,62,10
18.5,Id7,4,0,1,4,62,10
18.62,Id7,4,0,1,4,64,0
18.88,Id7,4,0,1,4,64,0
19.0,Id7,4,0,1,4,62,10
19.12,Id7,4,0,1,4,59,7
19.19,Id7,4,0,1,4,57,5
19.25,Id7,4,0,1,4,57,5
19.38,Id7,4,0,1,4,57,5
19.5,bVII,2,10,7,4,57,5
19.5,bVII,2,10,7,4,55,3
19.75,IV,9,5,4,4,55,3
20.0,Id7,4,0,1,4,55,3
20.12,Id7,4,0,1,4,62,10
20.19,Id7,4,0,1,4,62,10
20.25,Id7,4,0,1,4,62,10
20.38,Id7,4,0,1,4,62,10
20.5,Id7,4,0,1,4,64,0
20.75,Id7,4,0,1,4,64,0
20.88,Id7,4,0,1,4,59,7
21.0,Id7,4,0,1,4,62,10
21.12,Id7,4,0,1,4,61,9
21.25,Id7,4,0,1,4,57,5
21.38,Id7,4,0,1,4,57,5
21.5,Id7,4,0,1,4,55,3
21.5,bVII,2,10,7,4,55,3
21.62,bVII,2,10,7,4,62,10
21.75,bVII,2,10,7,4,64,0
21.75,IV,9,5,4,4,64,0
21.81,IV,9,5,4,4,62,10
21.88,IV,9,5,4,4,64,0
22.0,bVI,0,8,6,4,64,0
22.62,bVI,0,8,6,4,60,8
22.75,bVI,0,8,6,4,62,10
22.88,bVI,0,8,6,4,64,0
23.0,bIII,7,3,3,4,64,0
23.12,bIII,7,3,3,4,62,10
23.25,bIII,7,3,3,4,57,5
23.38,bIII,7,3,3,4,55,3
23.88,bIII,7,3,3,4,65,1
24.0,bVII,2,10,7,4,65,1
24.06,bVII,2,10,7,4,64,0
24.09,bVII,2,10,7,4,65,1
24.12,bVII,2,10,7,4,64,0
24.25,bVII,2,10,7,4,62,10
24.38,bVII,2,10,7,4,64,0
24.75,bVII,2,10,7,4,62,10
24.88,bVII,2,10,7,4,64,0
25.0,IV,9,5,4,4,64,0
25.38,IV,9,5,4,4,58,6
25.5,IV,9,5,4,4,57,5
25.62,IV,9,5,4,4,57,5
25.75,IV,9,5,4,4,55,3
26.12,IV,9,5,4,4,62,10
26.25,IV,9,5,4,4,64,0
26.62,IV,9,5,4,4,67,3
27.0,IV,9,5,4,4,67,3
27.25,IV,9,5,4,4,66,2
27.5,IV,9,5,4,4,66,2
27.75,IV,9,5,4,4,64,0
28.0,IV,9,5,4,4,64,0
28.0,Id7,4,0,1,4,64,0
28.12,Id7,4,0,1,4,62,10
29.5,Id7,4,0,1,4,62,10
29.62,Id7,4,0,1,4,62,10
29.75,Id7,4,0,1,4,62,10
29.88,Id7,4,0,1,4,64,0
31.12,Id7,4,0,1,4,62,10
31.25,Id7,4,0,1,4,62,10
31.38,Id7,4,0,1,4,62,10
31.5,Id7,4,0,1,4,61,9
31.62,Id7,4,0,1,4,59,7
31.75,Id7,4,0,1,4,62,10
31.88,Id7,4,0,1,4,64,0
32.12,Id7,4,0,1,4,62,10
32.19,Id7,4,0,1,4,59,7
32.25,Id7,4,0,1,4,61,9
33.12,Id7,4,0,1,4,62,10
33.25,Id7,4,0,1,4,62,10
33.38,Id7,4,0,1,4,62,10
33.62,Id7,4,0,1,4,62,10
33.75,Id7,4,0,1,4,62,10
33.88,Id7,4,0,1,4,64,0
36.12,Id7,4,0,1,4,67,3
36.25,Id7,4,0,1,4,67,3
36.38,Id7,4,0,1,4,67,3
36.5,Id7,4,0,1,4,67,3
36.88,Id7,4,0,1,4,59,7
37.0,Id7,4,0,1,4,62,10
37.06,Id7,4,0,1,4,62,10
37.12,Id7,4,0,1,4,62,10
37.25,Id7,4,0,1,4,62,10
37.38,Id7,4,0,1,4,64,0
37.5,bVII,2,10,7,4,64,0
37.75,IV,9,5,4,4,64,0
38.0,Id7,4,0,1,4,64,0
38.12,Id7,4,0,1,4,62,10
38.19,Id7,4,0,1,4,62,10
38.38,Id7,4,0,1,4,62,10
38.5,Id7,4,0,1,4,64,0
38.88,Id7,4,0,1,4,64,0
39.0,Id7,4,0,1,4,62,10
39.12,Id7,4,0,1,4,58,6
39.25,Id7,4,0,1,4,57,5
39.38,Id7,4,0,1,4,57,5
39.5,Id7,4,0,1,4,55,3
39.5,bVII,2,10,7,4,55,3
39.75,IV,9,5,4,4,55,3
40.0,Id7,4,0,1,4,55,3
40.12,Id7,4,0,1,4,62,10
40.25,Id7,4,0,1,4,62,10
40.38,Id7,4,0,1,4,62,10
40.5,Id7,4,0,1,4,62,10
40.62,Id7,4,0,1,4,64,0
40.88,Id7,4,0,1,4,64,0
41.0,Id7,4,0,1,4,62,10
41.12,Id7,4,0,1,4,59,7
41.19,Id7,4,0,1,4,57,5
41.25,Id7,4,0,1,4,57,5
41.38,Id7,4,0,1,4,57,5
41.5,Id7,4,0,1,4,55,3
41.5,bVII,2,10,7,4,55,3
41.75,IV,9,5,4,4,55,3
42.0,Id7,4,0,1,4,55,3
42.12,Id7,4,0,1,4,62,10
