Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.62,I,9,0,1,9,64,7
5.0,I,9,0,1,9,64,7
5.25,I,9,0,1,9,63,6
5.5,I,9,0,1,9,62,5
5.75,I,9,0,1,9,61,4
5.88,I,9,0,1,9,62,5
6.12,I,9,0,1,9,64,7
7.0,I,9,0,1,9,64,7
7.12,I,9,0,1,9,64,7
7.5,I,9,0,1,9,62,5
7.75,I,9,0,1,9,61,4
7.88,I,9,0,1,9,64,7
9.0,I,9,0,1,9,64,7
9.12,I,9,0,1,9,64,7
9.5,I,9,0,1,9,62,5
9.75,I,9,0,1,9,61,4
9.88,I,9,0,1,9,62,5
10.12,I,9,0,1,9,64,7
10.62,I,9,0,1,9,66,9
10.75,I,9,0,1,9,64,7
11.0,I,9,0,1,9,67,10
11.25,I,9,0,1,9,66,9
11.38,I,9,0,1,9,64,7
11.75,I,9,0,1,9,62,5
12.0,I,9,0,1,9,60,3
12.25,I,9,0,1,9,60,3
12.38,I,9,0,1,9,59,2
12.62,I,9,0,1,9,57,0
13.0,I,9,0,1,9,60,3
13.0,IV,2,5,4,9,60,3
13.38,IV,2,5,4,9,54,9
14.5,IV,2,5,4,9,54,9
14.62,IV,2,5,4,9,57,0
15.0,IV,2,5,4,9,60,3
15.38,IV,2,5,4,9,54,9
16.5,IV,2,5,4,9,66,9
16.62,IV,2,5,4,9,64,7
17.0,V,4,7,5,9,64,7
17.25,V,4,7,5,9,67,10
17.62,V,4,7,5,9,66,9
18.0,V,4,7,5,9,64,7
18.38,V,4,7,5,9,62,5
18.75,V,4,7,5,9,64,7
19.25,V,4,7,5,9,67,10
19.62,V,4,7,5,9,64,7
20.0,V,4,7,5,9,62,5
20.5,V,4,7,5,9,64,7
20.75,V,4,7,5,9,60,3
21.0,I,9,0,1,9,60,3
21.12,I,9,0,1,9,57,0
22.62,I,9,0,1,9,64,7
23.0,I,9,0,1,9,64,7
23.25,I,9,0,1,9,64,7
23.5,I,9,0,1,9,62,5
23.62,I,9,0,1,9,61,4
23.88,I,9,0,1,9,62,5
24.12,I,9,0,1,9,64,7
25.0,I,9,0,1,9,64,7
25.12,I,9,0,1,9,64,7
25.25,I,9,0,1,9,63,6
25.5,I,9,0,1,9,62,5
25.75,I,9,0,1,9,61,4
26.0,I,9,0,1,9,64,7
26.88,I,9,0,1,9,64,7
27.25,I,9,0,1,9,63,6
27.5,I,9,0,1,9,62,5
27.75,I,9,0,1,9,61,4
28.0,I,9,0,1,9,62,5
28.25,I,9,0,1,9,64,7
28.5,I,9,0,1,9,66,9
28.75,I,9,0,1,9,64,7
28.88,I,9,0,1,9,67,10
29.25,I,9,0,1,9,66,9
29.5,I,9,0,1,9,64,7
29.75,I,9,0,1,9,62,5
30.0,I,9,0,1,9,60,3
30.25,I,9,0,1,9,60,3
30.38,I,9,0,1,9,59,2
30.62,I,9,0,1,9,57,0
31.0,IV,2,5,4,9,57,0
31.0,IV,2,5,4,9,60,3
31.38,IV,2,5,4,9,54,9
32.5,IV,2,5,4,9,54,9
32.62,IV,2,5,4,9,57,0
33.0,IV,2,5,4,9,60,3
33.38,IV,2,5,4,9,54,9
34.38,IV,2,5,4,9,66,9
34.62,IV,2,5,4,9,64,7
35.0,V,4,7,5,9,64,7
35.25,V,4,7,5,9,67,10
35.62,V,4,7,5,9,66,9
36.0,V,4,7,5,9,64,7
36.38,V,4,7,5,9,62,5
36.75,V,4,7,5,9,64,7
37.25,V,4,7,5,9,67,10
37.62,V,4,7,5,9,64,7
38.0,V,4,7,5,9,62,5
38.5,V,4,7,5,9,64,7
38.75,V,4,7,5,9,60,3
39.0,I,9,0,1,9,60,3
39.12,I,9,0,1,9,57,0
49.0,IV,2,5,4,9,57,0
53.0,V,4,7,5,9,57,0
57.0,I,9,0,1,9,57,0
60.62,I,9,0,1,9,64,7
61.0,I,9,0,1,9,64,7
61.25,I,9,0,1,9,63,6
61.5,I,9,0,1,9,62,5
61.75,I,9,0,1,9,61,4
61.88,I,9,0,1,9,62,5
62.12,I,9,0,1,9,64,7
62.75,I,9,0,1,9,64,7
63.0,I,9,0,1,9,64,7
63.25,I,9,0,1,9,63,6
63.5,I,9,0,1,9,62,5
63.75,I,9,0,1,9,61,4
64.0,I,9,0,1,9,64,7
64.62,I,9,0,1,9,64,7
65.0,I,9,0,1,9,64,7
65.25,I,9,0,1,9,63,6
65.38,I,9,0,1,9,62,5
65.62,I,9,0,1,9,62,5
65.75,I,9,0,1,9,61,4
66.0,I,9,0,1,9,62,5
66.25,I,9,0,1,9,64,7
66.5,I,9,0,1,9,66,9
66.62,I,9,0,1,9,64,7
67.0,I,9,0,1,9,67,10
67.25,I,9,0,1,9,66,9
67.38,I,9,0,1,9,64,7
67.75,I,9,0,1,9,62,5
68.0,I,9,0,1,9,60,3
68.25,I,9,0,1,9,60,3
68.38,I,9,0,1,9,59,2
68.62,I,9,0,1,9,57,0
69.0,I,9,0,1,9,60,3
69.0,IV,2,5,4,9,60,3
69.38,IV,2,5,4,9,54,9
70.5,IV,2,5,4,9,54,9
70.62,IV,2,5,4,9,57,0
71.0,IV,2,5,4,9,60,3
71.38,IV,2,5,4,9,54,9
72.5,IV,2,5,4,9,66,9
72.62,IV,2,5,4,9,64,7
73.0,V,4,7,5,9,64,7
73.25,V,4,7,5,9,67,10
73.62,V,4,7,5,9,66,9
74.0,V,4,7,5,9,64,7
74.38,V,4,7,5,9,62,5
74.75,V,4,7,5,9,64,7
75.25,V,4,7,5,9,67,10
75.62,V,4,7,5,9,64,7
