Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
2.0,I,11,0,1,11,54,7
2.06,I,11,0,1,11,54,7
2.25,I,11,0,1,11,54,7
2.38,I,11,0,1,11,56,9
2.44,I,11,0,1,11,54,7
2.62,I,11,0,1,11,51,4
2.75,I,11,0,1,11,51,4
2.81,I,11,0,1,11,52,5
3.0,I,11,0,1,11,54,7
3.06,I,11,0,1,11,54,7
3.25,I,11,0,1,11,59,0
3.38,I,11,0,1,11,58,11
3.5,vi,8,9,6,11,58,11
3.5,vi,8,9,6,11,56,9
3.75,vi,8,9,6,11,56,9
3.88,vi,8,9,6,11,58,11
4.0,V,6,7,5,11,58,11
4.0,V,6,7,5,11,56,9
4.12,V,6,7,5,11,54,7
4.25,V,6,7,5,11,54,7
4.38,V,6,7,5,11,56,9
4.44,V,6,7,5,11,54,7
4.56,V,6,7,5,11,49,2
4.88,V,6,7,5,11,49,2
4.94,V,6,7,5,11,51,4
5.0,V,6,7,5,11,52,5
5.06,V,6,7,5,11,52,5
5.25,V,6,7,5,11,52,5
5.38,V,6,7,5,11,52,5
5.44,V,6,7,5,11,52,5
5.56,V,6,7,5,11,51,4
5.75,V,6,7,5,11,47,0
5.88,V,6,7,5,11,49,2
6.0,V,6,7,5,11,52,5
6.0,I,11,0,1,11,52,5
6.06,I,11,0,1,11,51,4
6.19,I,11,0,1,11,47,0
7.12,I,11,0,1,11,59,0
7.25,I,11,0,1,11,59,0
7.38,I,11,0,1,11,58,11
7.5,I,11,0,1,11,59,0
7.5,vi,8,9,6,11,59,0
7.75,vi,8,9,6,11,59,0
7.88,vi,8,9,6,11,59,0
7.94,vi,8,9,6,11,59,0
8.0,V,6,7,5,11,59,0
8.12,V,6,7,5,11,58,11
8.38,V,6,7,5,11,58,11
8.44,V,6,7,5,11,58,11
8.5,IV,4,5,4,11,58,11
8.5,IV,4,5,4,11,58,11
8.62,IV,4,5,4,11,56,9
8.69,IV,4,5,4,11,56,9
8.88,IV,4,5,4,11,56,9
9.0,IV,4,5,4,11,56,9
9.12,IV,4,5,4,11,58,11
9.19,IV,4,5,4,11,56,9
9.38,IV,4,5,4,11,54,7
9.44,IV,4,5,4,11,54,7
9.5,I,11,0,1,11,54,7
9.75,I,11,0,1,11,52,5
9.88,I,11,0,1,11,51,4
9.94,I,11,0,1,11,54,7
10.0,V,6,7,5,11,54,7
11.0,V,6,7,5,11,52,5
11.5,V,6,7,5,11,51,4
11.75,V,6,7,5,11,49,2
12.0,I,11,0,1,11,49,2
12.0,I,11,0,1,11,51,4
12.5,I,11,0,1,11,54,7
13.81,I,11,0,1,11,51,4
13.88,I,11,0,1,11,52,5
13.94,I,11,0,1,11,54,7
14.06,I,11,0,1,11,54,7
14.19,I,11,0,1,11,54,7
14.31,I,11,0,1,11,54,7
14.38,I,11,0,1,11,54,7
14.5,I,11,0,1,11,54,7
14.62,I,11,0,1,11,52,5
14.69,I,11,0,1,11,51,4
14.88,I,11,0,1,11,51,4
14.94,I,11,0,1,11,51,4
15.0,I,11,0,1,11,54,7
15.12,I,11,0,1,11,59,0
15.25,I,11,0,1,11,59,0
15.38,I,11,0,1,11,58,11
15.44,I,11,0,1,11,56,9
15.5,vi,8,9,6,11,56,9
15.75,vi,8,9,6,11,56,9
15.88,vi,8,9,6,11,58,11
16.0,vi,8,9,6,11,56,9
16.0,V,6,7,5,11,56,9
16.12,V,6,7,5,11,54,7
16.19,V,6,7,5,11,54,7
16.38,V,6,7,5,11,54,7
16.5,V,6,7,5,11,54,7
16.62,V,6,7,5,11,49,2
16.88,V,6,7,5,11,49,2
