Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,7,0,1,7,52,9
4.12,I,7,0,1,7,55,0
4.25,I,7,0,1,7,55,0
4.38,I,7,0,1,7,55,0
4.5,I,7,0,1,7,57,2
4.75,I,7,0,1,7,55,0
4.88,I,7,0,1,7,59,4
5.0,III,11,4,3,7,59,4
5.75,III,11,4,3,7,57,2
5.88,III,11,4,3,7,59,4
6.0,III,11,4,3,7,60,5
6.0,IV,0,5,4,7,60,5
6.12,IV,0,5,4,7,60,5
6.25,IV,0,5,4,7,60,5
6.38,IV,0,5,4,7,60,5
6.5,IV,0,5,4,7,60,5
6.62,IV,0,5,4,7,59,4
6.75,IV,0,5,4,7,58,3
6.88,IV,0,5,4,7,59,4
7.0,IV,0,5,4,7,57,2
7.0,II,9,2,2,7,57,2
8.0,II,9,2,2,7,52,9
8.0,I,7,0,1,7,52,9
8.12,I,7,0,1,7,55,0
8.38,I,7,0,1,7,55,0
8.5,I,7,0,1,7,57,2
8.75,I,7,0,1,7,55,0
8.88,I,7,0,1,7,59,4
9.0,III,11,4,3,7,59,4
9.75,III,11,4,3,7,59,4
9.88,III,11,4,3,7,59,4
10.0,III,11,4,3,7,60,5
10.0,IV,0,5,4,7,60,5
10.12,IV,0,5,4,7,60,5
10.25,IV,0,5,4,7,60,5
10.38,IV,0,5,4,7,60,5
10.5,IV,0,5,4,7,62,7
10.75,IV,0,5,4,7,59,4
10.88,IV,0,5,4,7,59,4
11.0,II,9,2,2,7,59,4
11.38,II,9,2,2,7,59,4
11.88,II,9,2,2,7,52,9
12.0,II,9,2,2,7,55,0
12.0,I,7,0,1,7,55,0
12.12,I,7,0,1,7,55,0
12.25,I,7,0,1,7,55,0
12.38,I,7,0,1,7,55,0
12.5,I,7,0,1,7,55,0
12.62,I,7,0,1,7,55,0
12.75,I,7,0,1,7,55,0
12.88,I,7,0,1,7,57,2
13.0,vi,4,9,6,7,57,2
13.5,vi,4,9,6,7,57,2
13.62,vi,4,9,6,7,59,4
13.75,vi,4,9,6,7,59,4
13.88,vi,4,9,6,7,64,9
14.0,vi,4,9,6,7,62,7
14.0,I,7,0,1,7,62,7
14.12,I,7,0,1,7,59,4
14.19,I,7,0,1,7,57,2
14.25,I,7,0,1,7,55,0
14.5,I,7,0,1,7,59,4
14.62,I,7,0,1,7,57,2
14.75,I,7,0,1,7,55,0
14.88,I,7,0,1,7,57,2
15.0,vi,4,9,6,7,57,2
15.38,vi,4,9,6,7,64,9
15.5,vi,4,9,6,7,62,7
15.62,vi,4,9,6,7,57,2
15.75,vi,4,9,6,7,57,2
