Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
2.67,I,7,0,1,7,55,0
3.0,I,7,0,1,7,55,0
3.33,I,7,0,1,7,55,0
3.5,I,7,0,1,7,55,0
4.0,I,7,0,1,7,55,0
4.0,vi,4,9,6,7,55,0
4.17,vi,4,9,6,7,55,0
4.67,vi,4,9,6,7,57,2
5.0,vi,4,9,6,7,57,2
5.0,IV,0,5,4,7,57,2
5.17,IV,0,5,4,7,57,2
5.67,IV,0,5,4,7,59,4
5.83,IV,0,5,4,7,59,4
6.0,I,7,0,1,7,59,4
7.33,I,7,0,1,7,62,7
7.5,I,7,0,1,7,62,7
8.0,I,7,0,1,7,62,7
8.17,I,7,0,1,7,62,7
8.67,I,7,0,1,7,62,7
9.0,vi,4,9,6,7,62,7
9.0,vi,4,9,6,7,62,7
9.17,vi,4,9,6,7,60,5
9.67,vi,4,9,6,7,59,4
9.83,vi,4,9,6,7,57,2
10.0,IV,0,5,4,7,57,2
10.33,IV,0,5,4,7,57,2
10.5,IV,0,5,4,7,57,2
10.83,IV,0,5,4,7,57,2
11.0,V,2,7,5,7,57,2
11.33,V,2,7,5,7,55,0
11.67,V,2,7,5,7,55,0
11.83,V,2,7,5,7,55,0
12.0,I,7,0,1,7,55,0
12.17,I,7,0,1,7,55,0
12.5,I,7,0,1,7,55,0
12.83,I,7,0,1,7,55,0
13.0,vi,4,9,6,7,55,0
13.33,vi,4,9,6,7,55,0
13.67,vi,4,9,6,7,55,0
13.83,vi,4,9,6,7,57,2
14.0,IV,0,5,4,7,57,2
14.5,IV,0,5,4,7,55,0
14.67,IV,0,5,4,7,57,2
14.83,IV,0,5,4,7,59,4
15.0,I,7,0,1,7,59,4
17.33,I,7,0,1,7,55,0
17.5,I,7,0,1,7,59,4
17.83,I,7,0,1,7,62,7
18.67,I,7,0,1,7,62,7
18.83,I,7,0,1,7,62,7
19.0,ii,9,2,2,7,62,7
19.17,ii,9,2,2,7,60,5
19.5,ii,9,2,2,7,59,4
19.83,ii,9,2,2,7,57,2
20.0,V,2,7,5,7,57,2
20.17,V,2,7,5,7,57,2
21.67,V,2,7,5,7,62,7
21.83,V,2,7,5,7,62,7
22.0,V,2,7,5,7,62,7
22.17,V,2,7,5,7,62,7
22.5,V,2,7,5,7,62,7
22.83,V,2,7,5,7,62,7
23.0,IV,0,5,4,7,62,7
23.0,IV,0,5,4,7,62,7
23.17,IV,0,5,4,7,62,7
23.33,IV,0,5,4,7,62,7
23.67,IV,0,5,4,7,62,7
24.0,vi,4,9,6,7,62,7
24.0,vi,4,9,6,7,62,7
24.33,vi,4,9,6,7,62,7
24.67,vi,4,9,6,7,62,7
25.0,V,2,7,5,7,62,7
25.5,V,2,7,5,7,59,4
25.67,V,2,7,5,7,60,5
25.83,V,2,7,5,7,62,7
26.0,I,7,0,1,7,62,7
26.83,I,7,0,1,7,62,7
27.0,I,7,0,1,7,60,5
27.0,vi,4,9,6,7,60,5
27.67,vi,4,9,6,7,59,4
28.0,V,2,7,5,7,59,4
28.0,V,2,7,5,7,57,2
28.67,V,2,7,5,7,55,0
29.0,I,7,0,1,7,55,0
29.0,I,7,0,1,7,55,0
31.0,vi,4,9,6,7,55,0
32.0,IV,0,5,4,7,55,0
33.0,I,7,0,1,7,55,0
36.67,I,7,0,1,7,55,0
37.0,I,7,0,1,7,55,0
37.17,I,7,0,1,7,55,0
37.67,I,7,0,1,7,55,0
