Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.25,I,7,0,1,7,59,4
8.38,I,7,0,1,7,62,7
8.5,IV,0,5,4,7,62,7
8.5,IV,0,5,4,7,64,9
8.75,IV,0,5,4,7,59,4
8.88,IV,0,5,4,7,59,4
9.0,IV,0,5,4,7,59,4
9.25,IV,0,5,4,7,57,2
9.38,IV,0,5,4,7,57,2
9.5,V,2,7,5,7,57,2
9.5,V,2,7,5,7,55,0
9.62,V,2,7,5,7,57,2
9.75,V,2,7,5,7,59,4
9.88,V,2,7,5,7,57,2
10.0,I,7,0,1,7,57,2
10.0,I,7,0,1,7,55,0
10.12,I,7,0,1,7,57,2
10.25,I,7,0,1,7,57,2
10.38,I,7,0,1,7,57,2
10.5,IV,0,5,4,7,57,2
10.5,IV,0,5,4,7,57,2
10.62,IV,0,5,4,7,55,0
10.88,IV,0,5,4,7,55,0
11.5,I,7,0,1,7,55,0
11.62,I,7,0,1,7,67,0
11.75,I,7,0,1,7,67,0
11.88,I,7,0,1,7,67,0
12.0,I,7,0,1,7,67,0
12.12,I,7,0,1,7,66,11
12.25,I,7,0,1,7,64,9
12.38,I,7,0,1,7,66,11
12.44,I,7,0,1,7,64,9
12.5,IV,0,5,4,7,64,9
12.5,IV,0,5,4,7,62,7
12.56,IV,0,5,4,7,60,5
12.75,IV,0,5,4,7,59,4
12.81,IV,0,5,4,7,57,2
12.88,IV,0,5,4,7,59,4
12.91,IV,0,5,4,7,57,2
12.94,IV,0,5,4,7,55,0
13.06,IV,0,5,4,7,57,2
13.25,IV,0,5,4,7,57,2
13.38,IV,0,5,4,7,57,2
13.5,IV,0,5,4,7,55,0
13.5,V,2,7,5,7,55,0
13.62,V,2,7,5,7,55,0
14.0,I,7,0,1,7,55,0
14.12,I,7,0,1,7,64,9
14.38,I,7,0,1,7,59,4
14.5,I,7,0,1,7,57,2
14.5,IV,0,5,4,7,57,2
14.62,IV,0,5,4,7,55,0
14.75,IV,0,5,4,7,55,0
14.88,IV,0,5,4,7,55,0
15.5,I,7,0,1,7,55,0
15.62,I,7,0,1,7,62,7
15.75,I,7,0,1,7,64,9
15.88,I,7,0,1,7,62,7
16.0,I,7,0,1,7,67,0
16.38,I,7,0,1,7,64,9
16.5,I,7,0,1,7,67,0
16.5,IV,0,5,4,7,67,0
16.67,IV,0,5,4,7,64,9
16.83,IV,0,5,4,7,62,7
17.0,IV,0,5,4,7,64,9
17.5,V,2,7,5,7,64,9
17.62,V,2,7,5,7,62,7
17.75,V,2,7,5,7,64,9
17.88,V,2,7,5,7,62,7
18.0,V,2,7,5,7,69,2
18.0,I,7,0,1,7,69,2
18.25,I,7,0,1,7,67,0
18.5,IV,0,5,4,7,67,0
18.5,IV,0,5,4,7,67,0
18.67,IV,0,5,4,7,64,9
18.83,IV,0,5,4,7,62,7
19.0,IV,0,5,4,7,64,9
19.5,V,2,7,5,7,64,9
19.62,V,2,7,5,7,62,7
19.75,V,2,7,5,7,64,9
19.88,V,2,7,5,7,62,7
20.0,I,7,0,1,7,62,7
20.0,I,7,0,1,7,69,2
20.25,I,7,0,1,7,67,0
20.38,I,7,0,1,7,64,9
20.5,IV,0,5,4,7,64,9
20.5,IV,0,5,4,7,67,0
20.54,IV,0,5,4,7,64,9
20.67,IV,0,5,4,7,64,9
20.83,IV,0,5,4,7,62,7
21.0,IV,0,5,4,7,64,9
21.38,IV,0,5,4,7,59,4
21.5,IV,0,5,4,7,60,5
21.5,V,2,7,5,7,60,5
21.69,V,2,7,5,7,59,4
21.88,V,2,7,5,7,59,4
21.94,V,2,7,5,7,57,2
22.0,V,2,7,5,7,55,0
22.0,I,7,0,1,7,55,0
22.12,I,7,0,1,7,57,2
22.25,I,7,0,1,7,55,0
