Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.06,I,9,0,1,9,54,9
3.12,I,9,0,1,9,57,0
3.25,I,9,0,1,9,57,0
3.38,I,9,0,1,9,57,0
3.44,I,9,0,1,9,61,4
3.5,iii,1,4,3,9,61,4
3.56,iii,1,4,3,9,61,4
3.62,iii,1,4,3,9,61,4
3.88,iii,1,4,3,9,61,4
4.0,iii,1,4,3,9,59,2
4.0,IV,2,5,4,9,59,2
4.06,IV,2,5,4,9,57,0
4.12,IV,2,5,4,9,57,0
4.25,IV,2,5,4,9,57,0
4.38,IV,2,5,4,9,57,0
4.5,IV,2,5,4,9,57,0
4.5,I,9,0,1,9,57,0
5.06,I,9,0,1,9,54,9
5.12,I,9,0,1,9,57,0
5.25,I,9,0,1,9,57,0
5.38,I,9,0,1,9,57,0
5.44,I,9,0,1,9,61,4
5.5,iii,1,4,3,9,61,4
5.81,iii,1,4,3,9,61,4
6.0,iii,1,4,3,9,59,2
6.0,IV,2,5,4,9,59,2
6.12,IV,2,5,4,9,57,0
6.19,IV,2,5,4,9,57,0
6.31,IV,2,5,4,9,57,0
6.44,IV,2,5,4,9,66,9
6.5,I,9,0,1,9,66,9
6.56,I,9,0,1,9,61,4
6.62,I,9,0,1,9,64,7
7.12,I,9,0,1,9,66,9
7.25,I,9,0,1,9,66,9
7.31,I,9,0,1,9,66,9
7.38,I,9,0,1,9,66,9
7.44,I,9,0,1,9,64,7
7.5,iii,1,4,3,9,64,7
7.5,iii,1,4,3,9,66,9
7.62,iii,1,4,3,9,61,4
7.81,iii,1,4,3,9,61,4
7.94,iii,1,4,3,9,59,2
8.0,IV,2,5,4,9,59,2
8.0,IV,2,5,4,9,59,2
8.12,IV,2,5,4,9,57,0
8.25,IV,2,5,4,9,57,0
8.38,IV,2,5,4,9,54,9
8.44,IV,2,5,4,9,57,0
8.5,I,9,0,1,9,57,0
9.06,I,9,0,1,9,54,9
9.12,I,9,0,1,9,57,0
9.25,I,9,0,1,9,57,0
9.44,I,9,0,1,9,57,0
9.5,iii,1,4,3,9,57,0
9.5,iii,1,4,3,9,61,4
9.62,iii,1,4,3,9,61,4
9.69,iii,1,4,3,9,61,4
10.0,iii,1,4,3,9,59,2
10.0,IV,2,5,4,9,59,2
10.06,IV,2,5,4,9,57,0
10.12,IV,2,5,4,9,57,0
10.19,IV,2,5,4,9,57,0
10.31,IV,2,5,4,9,57,0
10.38,IV,2,5,4,9,57,0
10.5,I,9,0,1,9,57,0
11.12,I,9,0,1,9,64,7
11.19,I,9,0,1,9,64,7
11.25,I,9,0,1,9,64,7
11.25,V,4,7,5,9,64,7
11.38,V,4,7,5,9,61,4
