Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.88,V,0,7,5,5,53,0
8.0,I,5,0,1,5,53,0
8.0,I,5,0,1,5,60,7
8.12,I,5,0,1,5,60,7
8.5,I,5,0,1,5,60,7
9.0,IV,10,5,4,5,60,7
9.38,IV,10,5,4,5,58,5
9.62,IV,10,5,4,5,58,5
9.88,IV,10,5,4,5,58,5
10.0,I,5,0,1,5,58,5
10.12,I,5,0,1,5,57,4
10.19,I,5,0,1,5,55,2
10.25,I,5,0,1,5,53,0
10.5,V7,0,7,5,5,53,0
11.0,I,5,0,1,5,53,0
11.5,V7,0,7,5,5,53,0
11.75,V7,0,7,5,5,57,4
11.88,V7,0,7,5,5,60,7
12.0,V7,0,7,5,5,60,7
12.0,I,5,0,1,5,60,7
12.12,I,5,0,1,5,60,7
12.25,I,5,0,1,5,60,7
12.38,I,5,0,1,5,60,7
12.62,I,5,0,1,5,60,7
12.88,I,5,0,1,5,60,7
13.0,V,0,7,5,5,60,7
13.0,V,0,7,5,5,60,7
13.25,V,0,7,5,5,60,7
13.38,V,0,7,5,5,60,7
13.62,V,0,7,5,5,58,5
13.88,V,0,7,5,5,58,5
14.0,V,0,7,5,5,58,5
14.0,IV,10,5,4,5,58,5
14.12,IV,10,5,4,5,58,5
14.38,IV,10,5,4,5,57,4
14.5,IV,10,5,4,5,55,2
14.62,IV,10,5,4,5,53,0
15.62,IV,10,5,4,5,58,5
16.0,IV,10,5,4,5,58,5
16.12,IV,10,5,4,5,58,5
16.25,IV,10,5,4,5,58,5
16.38,IV,10,5,4,5,58,5
16.5,IV,10,5,4,5,57,4
16.62,IV,10,5,4,5,57,4
16.75,IV,10,5,4,5,57,4
16.88,IV,10,5,4,5,57,4
17.0,V,0,7,5,5,57,4
17.0,V,0,7,5,5,57,4
17.12,V,0,7,5,5,55,2
17.25,V,0,7,5,5,55,2
17.62,V,0,7,5,5,57,4
17.88,V,0,7,5,5,57,4
18.0,V,0,7,5,5,57,4
18.0,I,5,0,1,5,57,4
18.12,I,5,0,1,5,57,4
18.25,I,5,0,1,5,57,4
18.38,I,5,0,1,5,57,4
18.62,I,5,0,1,5,60,7
18.88,I,5,0,1,5,60,7
19.0,IV,10,5,4,5,60,7
19.0,IV,10,5,4,5,58,5
19.12,IV,10,5,4,5,58,5
19.62,IV,10,5,4,5,60,7
19.75,IV,10,5,4,5,60,7
19.88,IV,10,5,4,5,60,7
20.0,IV,10,5,4,5,60,7
20.12,IV,10,5,4,5,58,5
20.25,IV,10,5,4,5,58,5
20.38,IV,10,5,4,5,58,5
20.62,IV,10,5,4,5,58,5
20.88,IV,10,5,4,5,58,5
21.0,I,5,0,1,5,58,5
21.12,I,5,0,1,5,57,4
21.38,I,5,0,1,5,57,4
21.62,I,5,0,1,5,57,4
21.88,I,5,0,1,5,57,4
22.0,V,0,7,5,5,57,4
22.12,V,0,7,5,5,57,4
22.25,V,0,7,5,5,57,4
22.38,V,0,7,5,5,55,2
22.62,V,0,7,5,5,55,2
22.75,V,0,7,5,5,55,2
23.62,V,0,7,5,5,60,7
24.0,V,0,7,5,5,60,7
24.0,I,5,0,1,5,60,7
24.12,I,5,0,1,5,60,7
24.25,I,5,0,1,5,60,7
24.38,I,5,0,1,5,60,7
24.75,I,5,0,1,5,60,7
24.88,I,5,0,1,5,58,5
25.0,I,5,0,1,5,58,5
25.0,IV,10,5,4,5,58,5
25.12,IV,10,5,4,5,58,5
25.5,IV,10,5,4,5,58,5
25.62,IV,10,5,4,5,57,4
25.75,IV,10,5,4,5,57,4
25.88,IV,10,5,4,5,57,4
26.0,I,5,0,1,5,57,4
26.12,I,5,0,1,5,57,4
26.19,I,5,0,1,5,55,2
26.25,I,5,0,1,5,53,0
26.5,V7,0,7,5,5,53,0
27.0,I,5,0,1,5,53,0
27.5,V7,0,7,5,5,53,0
27.62,V7,0,7,5,5,57,4
27.75,V7,0,7,5,5,60,7
27.88,V7,0,7,5,5,60,7
28.0,I,5,0,1,5,60,7
28.25,I,5,0,1,5,60,7
28.38,I,5,0,1,5,60,7
28.5,I,5,0,1,5,60,7
28.62,I,5,0,1,5,60,7
28.75,I,5,0,1,5,60,7
29.0,I,5,0,1,5,60,7
29.0,V,0,7,5,5,60,7
29.12,V,0,7,5,5,60,7
29.25,V,0,7,5,5,60,7
29.38,V,0,7,5,5,60,7
29.62,V,0,7,5,5,60,7
29.88,V,0,7,5,5,62,9
30.0,IV,10,5,4,5,62,9
30.5,IV,10,5,4,5,60,7
30.75,IV,10,5,4,5,60,7
30.88,IV,10,5,4,5,58,5
31.5,IV,10,5,4,5,65,0
31.62,IV,10,5,4,5,65,0
31.75,IV,10,5,4,5,65,0
31.88,IV,10,5,4,5,65,0
32.0,IV,10,5,4,5,65,0
