Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.0,I,5,0,1,5,65,0
0.25,I,5,0,1,5,65,0
0.42,I,5,0,1,5,62,9
0.5,I,5,0,1,5,65,0
0.67,I,5,0,1,5,65,0
0.92,I,5,0,1,5,62,9
1.0,I,5,0,1,5,65,0
1.25,I,5,0,1,5,65,0
1.5,I,5,0,1,5,65,0
1.75,I,5,0,1,5,68,3
1.92,I,5,0,1,5,69,4
2.0,I,5,0,1,5,69,4
2.17,I,5,0,1,5,69,4
2.67,I,5,0,1,5,67,2
2.92,I,5,0,1,5,65,0
3.17,I,5,0,1,5,65,0
3.75,I,5,0,1,5,67,2
3.92,I,5,0,1,5,68,3
4.0,I,5,0,1,5,68,3
4.25,I,5,0,1,5,68,3
4.67,I,5,0,1,5,67,2
4.92,I,5,0,1,5,65,0
5.17,I,5,0,1,5,65,0
5.75,I,5,0,1,5,67,2
5.92,I,5,0,1,5,67,2
6.0,I,5,0,1,5,68,3
6.0,IV,10,5,4,5,68,3
6.25,IV,10,5,4,5,68,3
6.67,IV,10,5,4,5,67,2
6.75,IV,10,5,4,5,65,0
6.92,IV,10,5,4,5,65,0
7.17,IV,10,5,4,5,74,9
7.67,IV,10,5,4,5,68,3
7.75,IV,10,5,4,5,68,3
7.92,IV,10,5,4,5,72,7
8.0,I,5,0,1,5,72,7
8.08,I,5,0,1,5,69,4
8.17,I,5,0,1,5,67,2
8.25,I,5,0,1,5,65,0
8.38,I,5,0,1,5,62,9
8.5,I,5,0,1,5,65,0
8.92,I,5,0,1,5,65,0
9.17,I,5,0,1,5,63,10
9.75,I,5,0,1,5,67,2
9.92,I,5,0,1,5,68,3
10.0,I,5,0,1,5,69,4
10.0,V,0,7,5,5,69,4
10.25,V,0,7,5,5,67,2
10.67,V,0,7,5,5,67,2
10.75,V,0,7,5,5,65,0
10.92,V,0,7,5,5,65,0
11.0,IV,10,5,4,5,65,0
11.17,IV,10,5,4,5,62,9
11.92,IV,10,5,4,5,62,9
12.0,IV,10,5,4,5,65,0
12.0,I,5,0,1,5,65,0
12.25,I,5,0,1,5,65,0
12.42,I,5,0,1,5,62,9
12.5,I,5,0,1,5,65,0
12.67,I,5,0,1,5,65,0
12.92,I,5,0,1,5,62,9
13.0,I,5,0,1,5,65,0
13.25,I,5,0,1,5,65,0
13.5,I,5,0,1,5,65,0
13.67,I,5,0,1,5,65,0
13.75,I,5,0,1,5,65,0
13.92,I,5,0,1,5,65,0
14.0,I,5,0,1,5,68,3
14.17,I,5,0,1,5,69,4
14.67,I,5,0,1,5,65,0
14.92,I,5,0,1,5,65,0
15.92,I,5,0,1,5,65,0
16.0,I,5,0,1,5,69,4
16.25,I,5,0,1,5,69,4
16.5,I,5,0,1,5,67,2
16.75,I,5,0,1,5,62,9
16.92,I,5,0,1,5,65,0
17.62,I,5,0,1,5,69,4
17.75,I,5,0,1,5,69,4
17.88,I,5,0,1,5,69,4
18.0,IV,10,5,4,5,69,4
18.0,IV,10,5,4,5,72,7
18.08,IV,10,5,4,5,69,4
18.17,IV,10,5,4,5,67,2
18.25,IV,10,5,4,5,65,0
18.67,IV,10,5,4,5,65,0
18.92,IV,10,5,4,5,65,0
19.92,IV,10,5,4,5,65,0
20.0,IV,10,5,4,5,69,4
20.0,I,5,0,1,5,69,4
20.25,I,5,0,1,5,69,4
20.5,I,5,0,1,5,67,2
20.75,I,5,0,1,5,62,9
20.92,I,5,0,1,5,65,0
21.92,I,5,0,1,5,60,7
22.0,I,5,0,1,5,65,0
22.25,I,5,0,1,5,65,0
22.42,I,5,0,1,5,65,0
22.5,I,5,0,1,5,65,0
22.92,I,5,0,1,5,60,7
23.0,I,5,0,1,5,65,0
23.25,I,5,0,1,5,65,0
23.42,I,5,0,1,5,65,0
23.5,I,5,0,1,5,65,0
23.92,I,5,0,1,5,63,10
24.0,I,5,0,1,5,68,3
24.25,I,5,0,1,5,67,2
24.42,I,5,0,1,5,65,0
24.67,I,5,0,1,5,67,2
24.92,I,5,0,1,5,69,4
25.17,I,5,0,1,5,67,2
25.42,I,5,0,1,5,65,0
25.5,I,5,0,1,5,67,2
25.75,I,5,0,1,5,68,3
25.92,I,5,0,1,5,68,3
26.0,I,5,0,1,5,67,2
26.25,I,5,0,1,5,68,3
26.67,I,5,0,1,5,67,2
26.75,I,5,0,1,5,65,0
26.92,I,5,0,1,5,65,0
27.17,I,5,0,1,5,65,0
27.75,I,5,0,1,5,68,3
27.92,I,5,0,1,5,68,3
28.0,I,5,0,1,5,68,3
28.25,I,5,0,1,5,68,3
28.67,I,5,0,1,5,67,2
28.75,I,5,0,1,5,65,0
28.92,I,5,0,1,5,65,0
29.17,I,5,0,1,5,65,0
29.42,I,5,0,1,5,77,0
29.75,I,5,0,1,5,68,3
29.92,I,5,0,1,5,68,3
30.0,I,5,0,1,5,70,5
30.0,IV,10,5,4,5,70,5
30.12,IV,10,5,4,5,68,3
30.25,IV,10,5,4,5,65,0
30.38,IV,10,5,4,5,63,10
30.5,IV,10,5,4,5,62,9
30.67,IV,10,5,4,5,65,0
30.92,IV,10,5,4,5,65,0
31.17,IV,10,5,4,5,65,0
31.75,IV,10,5,4,5,67,2
31.92,IV,10,5,4,5,68,3
32.0,I,5,0,1,5,68,3
32.0,I,5,0,1,5,69,4
32.25,I,5,0,1,5,69,4
32.67,I,5,0,1,5,67,2
32.75,I,5,0,1,5,65,0
32.92,I,5,0,1,5,65,0
33.17,I,5,0,1,5,63,10
33.75,I,5,0,1,5,67,2
33.92,I,5,0,1,5,67,2
34.0,V,0,7,5,5,67,2
34.0,V,0,7,5,5,69,4
34.25,V,0,7,5,5,67,2
34.67,V,0,7,5,5,67,2
34.75,V,0,7,5,5,65,0
34.92,V,0,7,5,5,65,0
35.0,IV,10,5,4,5,65,0
35.17,IV,10,5,4,5,62,9
35.92,IV,10,5,4,5,62,9
36.0,IV,10,5,4,5,65,0
36.0,I,5,0,1,5,65,0
36.25,I,5,0,1,5,65,0
36.42,I,5,0,1,5,62,9
36.5,I,5,0,1,5,65,0
36.67,I,5,0,1,5,65,0
36.92,I,5,0,1,5,62,9
37.0,I,5,0,1,5,65,0
37.25,I,5,0,1,5,65,0
37.5,I,5,0,1,5,65,0
37.67,I,5,0,1,5,65,0
37.75,I,5,0,1,5,65,0
37.92,I,5,0,1,5,65,0
38.0,I,5,0,1,5,68,3
38.17,I,5,0,1,5,69,4
38.67,I,5,0,1,5,65,0
38.92,I,5,0,1,5,65,0
39.17,I,5,0,1,5,60,7
39.92,I,5,0,1,5,65,0
40.0,I,5,0,1,5,68,3
40.25,I,5,0,1,5,68,3
40.5,I,5,0,1,5,68,3
40.75,I,5,0,1,5,68,3
40.92,I,5,0,1,5,65,0
41.17,I,5,0,1,5,65,0
41.75,I,5,0,1,5,69,4
41.83,I,5,0,1,5,69,4
42.0,I,5,0,1,5,72,7
42.0,IV,10,5,4,5,72,7
42.08,IV,10,5,4,5,69,4
42.17,IV,10,5,4,5,67,2
42.25,IV,10,5,4,5,65,0
42.67,IV,10,5,4,5,65,0
42.92,IV,10,5,4,5,65,0
43.17,IV,10,5,4,5,62,9
43.92,IV,10,5,4,5,65,0
44.0,I,5,0,1,5,65,0
44.0,I,5,0,1,5,68,3
44.25,I,5,0,1,5,69,4
44.5,I,5,0,1,5,65,0
44.75,I,5,0,1,5,62,9
44.92,I,5,0,1,5,65,0
45.17,I,5,0,1,5,62,9
45.92,I,5,0,1,5,60,7
46.0,I,5,0,1,5,69,4
46.25,I,5,0,1,5,68,3
46.42,I,5,0,1,5,65,0
46.5,I,5,0,1,5,65,0
46.75,I,5,0,1,5,62,9
47.0,I,5,0,1,5,65,0
47.25,I,5,0,1,5,65,0
47.42,I,5,0,1,5,67,2
47.5,I,5,0,1,5,68,3
48.0,I,5,0,1,5,68,3
48.17,I,5,0,1,5,65,0
48.25,I,5,0,1,5,67,2
48.5,I,5,0,1,5,65,0
48.75,I,5,0,1,5,67,2
48.92,I,5,0,1,5,65,0
49.0,I,5,0,1,5,68,3
49.25,I,5,0,1,5,67,2
49.42,I,5,0,1,5,65,0
