Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.88,I,8,0,1,8,51,7
2.0,I,8,0,1,8,56,0
2.25,I,8,0,1,8,56,0
2.5,I,8,0,1,8,56,0
2.75,I,8,0,1,8,58,2
3.0,I,8,0,1,8,61,5
3.0,vi,5,9,6,8,61,5
3.12,vi,5,9,6,8,60,4
3.25,vi,5,9,6,8,56,0
3.5,vi,5,9,6,8,56,0
3.88,vi,5,9,6,8,56,0
4.0,IV,1,5,4,8,56,0
4.0,IV,1,5,4,8,61,5
4.12,IV,1,5,4,8,61,5
4.25,IV,1,5,4,8,60,4
4.5,IV,1,5,4,8,56,0
4.75,IV,1,5,4,8,51,7
5.0,IV,1,5,4,8,53,9
5.0,ii,10,2,2,8,53,9
5.38,ii,10,2,2,8,51,7
5.5,V,3,7,5,8,51,7
5.5,V,3,7,5,8,53,9
5.62,V,3,7,5,8,56,0
6.0,I,8,0,1,8,56,0
6.0,I,8,0,1,8,53,9
6.12,I,8,0,1,8,51,7
7.88,I,8,0,1,8,51,7
8.0,I,8,0,1,8,56,0
8.25,I,8,0,1,8,56,0
8.5,I,8,0,1,8,56,0
8.75,I,8,0,1,8,58,2
8.88,I,8,0,1,8,56,0
9.0,I,8,0,1,8,61,5
9.0,vi,5,9,6,8,61,5
9.12,vi,5,9,6,8,60,4
9.25,vi,5,9,6,8,56,0
9.5,vi,5,9,6,8,56,0
9.88,vi,5,9,6,8,56,0
10.0,vi,5,9,6,8,61,5
10.0,IV,1,5,4,8,61,5
10.25,IV,1,5,4,8,60,4
10.5,IV,1,5,4,8,56,0
10.75,IV,1,5,4,8,51,7
11.0,IV,1,5,4,8,53,9
11.0,ii,10,2,2,8,53,9
11.38,ii,10,2,2,8,51,7
11.5,ii,10,2,2,8,53,9
11.5,V,3,7,5,8,53,9
11.62,V,3,7,5,8,56,0
12.0,V,3,7,5,8,60,4
12.0,I,8,0,1,8,60,4
14.0,I,8,0,1,8,61,5
14.0,IV,1,5,4,8,61,5
14.25,IV,1,5,4,8,60,4
14.5,IV,1,5,4,8,56,0
14.75,IV,1,5,4,8,61,5
15.0,IV,1,5,4,8,60,4
15.25,IV,1,5,4,8,56,0
15.5,IV,1,5,4,8,61,5
15.75,IV,1,5,4,8,60,4
16.0,IV,1,5,4,8,56,0
17.75,IV,1,5,4,8,56,0
18.0,I,8,0,1,8,56,0
18.0,I,8,0,1,8,65,9
18.25,I,8,0,1,8,63,7
18.5,I,8,0,1,8,60,4
18.75,I,8,0,1,8,65,9
18.88,I,8,0,1,8,63,7
19.0,I,8,0,1,8,63,7
19.0,vi,5,9,6,8,63,7
19.25,vi,5,9,6,8,60,4
19.5,vi,5,9,6,8,65,9
19.62,vi,5,9,6,8,63,7
20.0,vi,5,9,6,8,60,4
20.0,IV,1,5,4,8,60,4
20.12,IV,1,5,4,8,58,2
21.0,V,3,7,5,8,58,2
21.25,V,3,7,5,8,65,9
21.38,V,3,7,5,8,63,7
21.5,V,3,7,5,8,60,4
21.62,V,3,7,5,8,58,2
21.75,V,3,7,5,8,56,0
21.88,V,3,7,5,8,53,9
22.0,V,3,7,5,8,56,0
22.0,I,8,0,1,8,56,0
22.25,I,8,0,1,8,56,0
22.5,I,8,0,1,8,56,0
22.75,I,8,0,1,8,58,2
22.88,I,8,0,1,8,56,0
23.0,I,8,0,1,8,61,5
23.0,vi,5,9,6,8,61,5
23.12,vi,5,9,6,8,60,4
23.25,vi,5,9,6,8,58,2
23.5,vi,5,9,6,8,56,0
23.88,vi,5,9,6,8,56,0
24.0,IV,1,5,4,8,56,0
24.0,IV,1,5,4,8,61,5
24.25,IV,1,5,4,8,60,4
24.5,IV,1,5,4,8,56,0
24.75,IV,1,5,4,8,51,7
24.88,IV,1,5,4,8,51,7
25.0,IV,1,5,4,8,53,9
25.0,ii,10,2,2,8,53,9
25.38,ii,10,2,2,8,51,7
25.5,ii,10,2,2,8,53,9
25.5,V,3,7,5,8,53,9
25.62,V,3,7,5,8,56,0
26.0,V,3,7,5,8,53,9
26.0,I,8,0,1,8,53,9
26.12,I,8,0,1,8,51,7
27.88,I,8,0,1,8,51,7
28.0,I,8,0,1,8,56,0
28.25,I,8,0,1,8,56,0
28.5,I,8,0,1,8,56,0
28.75,I,8,0,1,8,58,2
28.88,I,8,0,1,8,56,0
29.0,I,8,0,1,8,61,5
29.0,vi,5,9,6,8,61,5
29.25,vi,5,9,6,8,56,0
29.5,vi,5,9,6,8,56,0
29.88,vi,5,9,6,8,56,0
30.0,IV,1,5,4,8,56,0
30.0,IV,1,5,4,8,61,5
30.25,IV,1,5,4,8,60,4
30.5,IV,1,5,4,8,56,0
30.75,IV,1,5,4,8,51,7
31.0,IV,1,5,4,8,53,9
31.0,ii,10,2,2,8,53,9
31.5,ii,10,2,2,8,51,7
31.5,V,3,7,5,8,51,7
31.62,V,3,7,5,8,53,9
31.75,V,3,7,5,8,56,0
32.0,V,3,7,5,8,60,4
32.0,I,8,0,1,8,60,4
34.0,I,8,0,1,8,61,5
34.0,IV,1,5,4,8,61,5
34.25,IV,1,5,4,8,60,4
34.5,IV,1,5,4,8,56,0
34.75,IV,1,5,4,8,61,5
35.0,IV,1,5,4,8,60,4
35.25,IV,1,5,4,8,56,0
35.5,IV,1,5,4,8,61,5
35.75,IV,1,5,4,8,60,4
36.25,IV,1,5,4,8,58,2
36.38,IV,1,5,4,8,56,0
37.75,IV,1,5,4,8,56,0
38.0,I,8,0,1,8,56,0
38.0,I,8,0,1,8,65,9
38.25,I,8,0,1,8,63,7
38.5,I,8,0,1,8,60,4
38.75,I,8,0,1,8,65,9
39.0,vi,5,9,6,8,65,9
39.0,vi,5,9,6,8,63,7
39.25,vi,5,9,6,8,60,4
39.5,vi,5,9,6,8,65,9
39.62,vi,5,9,6,8,63,7
40.0,vi,5,9,6,8,60,4
40.0,IV,1,5,4,8,60,4
40.12,IV,1,5,4,8,58,2
40.75,IV,1,5,4,8,65,9
41.0,IV,1,5,4,8,65,9
41.0,V,3,7,5,8,65,9
41.25,V,3,7,5,8,60,4
41.5,V,3,7,5,8,56,0
41.75,V,3,7,5,8,53,9
41.88,V,3,7,5,8,51,7
42.0,V,3,7,5,8,53,9
42.0,I,8,0,1,8,53,9
42.12,I,8,0,1,8,56,0
45.0,vi,5,9,6,8,56,0
46.0,IV,1,5,4,8,56,0
47.0,ii,10,2,2,8,56,0
47.5,V,3,7,5,8,56,0
48.0,I,8,0,1,8,56,0
49.75,I,8,0,1,8,56,0
50.0,IV,1,5,4,8,56,0
50.0,IV,1,5,4,8,61,5
50.25,IV,1,5,4,8,60,4
50.5,IV,1,5,4,8,56,0
50.75,IV,1,5,4,8,61,5
51.0,IV,1,5,4,8,60,4
51.25,IV,1,5,4,8,56,0
51.5,IV,1,5,4,8,61,5
51.88,IV,1,5,4,8,60,4
52.12,IV,1,5,4,8,56,0
53.75,IV,1,5,4,8,56,0
54.0,IV,1,5,4,8,65,9
54.0,I,8,0,1,8,65,9
54.25,I,8,0,1,8,63,7
54.5,I,8,0,1,8,60,4
54.75,I,8,0,1,8,65,9
55.0,I,8,0,1,8,63,7
55.0,vi,5,9,6,8,63,7
55.12,vi,5,9,6,8,60,4
55.25,vi,5,9,6,8,60,4
55.5,vi,5,9,6,8,65,9
55.88,vi,5,9,6,8,63,7
56.0,vi,5,9,6,8,60,4
56.0,IV,1,5,4,8,60,4
56.12,IV,1,5,4,8,58,2
57.0,V,3,7,5,8,58,2
57.12,V,3,7,5,8,63,7
57.25,V,3,7,5,8,65,9
57.38,V,3,7,5,8,63,7
57.5,V,3,7,5,8,60,4
57.62,V,3,7,5,8,58,2
57.75,V,3,7,5,8,56,0
57.88,V,3,7,5,8,53,9
58.0,I,8,0,1,8,53,9
58.0,I,8,0,1,8,56,0
