Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
23.75,i,3,0,1,3,56,5
23.88,i,3,0,1,3,58,7
24.0,i,3,0,1,3,61,10
24.12,i,3,0,1,3,63,0
24.25,i,3,0,1,3,66,3
24.38,i,3,0,1,3,63,0
24.44,i,3,0,1,3,58,7
24.5,i,3,0,1,3,61,10
24.62,i,3,0,1,3,63,0
25.19,i,3,0,1,3,58,7
25.25,i,3,0,1,3,61,10
25.31,i,3,0,1,3,58,7
25.38,i,3,0,1,3,61,10
25.44,i,3,0,1,3,58,7
25.62,i,3,0,1,3,61,10
25.69,i,3,0,1,3,58,7
25.75,i,3,0,1,3,61,10
25.81,i,3,0,1,3,58,7
25.88,i,3,0,1,3,58,7
25.94,i,3,0,1,3,56,5
26.0,i,3,0,1,3,54,3
26.06,i,3,0,1,3,51,0
29.75,i,3,0,1,3,61,10
29.88,i,3,0,1,3,63,0
30.0,i,3,0,1,3,70,7
30.12,i,3,0,1,3,63,0
30.25,i,3,0,1,3,68,5
30.38,i,3,0,1,3,68,5
30.44,i,3,0,1,3,66,3
30.5,i,3,0,1,3,68,5
30.62,i,3,0,1,3,68,5
30.69,i,3,0,1,3,66,3
30.75,i,3,0,1,3,63,0
31.25,i,3,0,1,3,61,10
31.38,i,3,0,1,3,58,7
31.44,i,3,0,1,3,63,0
31.62,i,3,0,1,3,58,7
31.69,i,3,0,1,3,58,7
31.75,i,3,0,1,3,61,10
31.81,i,3,0,1,3,56,5
31.88,i,3,0,1,3,58,7
32.0,i,3,0,1,3,56,5
32.06,i,3,0,1,3,54,3
32.12,i,3,0,1,3,51,0
33.75,i,3,0,1,3,58,7
33.81,i,3,0,1,3,56,5
34.0,i,3,0,1,3,61,10
34.06,i,3,0,1,3,58,7
34.12,i,3,0,1,3,61,10
34.25,i,3,0,1,3,58,7
34.31,i,3,0,1,3,61,10
34.38,i,3,0,1,3,58,7
34.44,i,3,0,1,3,58,7
34.5,i,3,0,1,3,58,7
34.56,i,3,0,1,3,56,5
34.62,i,3,0,1,3,61,10
34.69,i,3,0,1,3,58,7
35.0,IV,8,5,4,3,58,7
35.25,IV,8,5,4,3,61,10
35.31,IV,8,5,4,3,61,10
35.38,IV,8,5,4,3,58,7
35.56,IV,8,5,4,3,68,5
35.69,IV,8,5,4,3,66,3
35.81,IV,8,5,4,3,63,0
35.88,IV,8,5,4,3,63,0
35.94,IV,8,5,4,3,61,10
36.0,i,3,0,1,3,61,10
37.75,i,3,0,1,3,61,10
37.81,i,3,0,1,3,63,0
37.94,i,3,0,1,3,63,0
38.0,bVI,11,8,6,3,63,0
38.0,bVI,11,8,6,3,63,0
38.06,bVI,11,8,6,3,63,0
38.19,bVI,11,8,6,3,63,0
38.38,bVI,11,8,6,3,66,3
39.0,bVII,1,10,7,3,66,3
39.5,bVII,1,10,7,3,70,7
39.62,bVII,1,10,7,3,70,7
39.75,bVII,1,10,7,3,68,5
39.81,bVII,1,10,7,3,66,3
39.94,bVII,1,10,7,3,70,7
40.0,bVII,1,10,7,3,66,3
40.0,i,3,0,1,3,66,3
40.12,i,3,0,1,3,66,3
40.25,i,3,0,1,3,63,0
40.38,i,3,0,1,3,63,0
40.44,i,3,0,1,3,58,7
61.69,i,3,0,1,3,56,5
61.75,i,3,0,1,3,58,7
61.81,i,3,0,1,3,58,7
61.94,i,3,0,1,3,68,5
62.06,i,3,0,1,3,66,3
62.19,i,3,0,1,3,63,0
62.25,i,3,0,1,3,61,10
62.31,i,3,0,1,3,63,0
62.44,i,3,0,1,3,61,10
62.56,i,3,0,1,3,58,7
62.62,i,3,0,1,3,54,3
63.12,i,3,0,1,3,58,7
63.19,i,3,0,1,3,61,10
63.22,i,3,0,1,3,61,10
63.25,i,3,0,1,3,61,10
63.31,i,3,0,1,3,61,10
63.38,i,3,0,1,3,61,10
63.44,i,3,0,1,3,58,7
63.75,i,3,0,1,3,61,10
63.78,i,3,0,1,3,58,7
63.81,i,3,0,1,3,58,7
63.94,i,3,0,1,3,56,5
64.0,i,3,0,1,3,54,3
67.56,i,3,0,1,3,58,7
67.62,i,3,0,1,3,61,10
67.69,i,3,0,1,3,58,7
67.88,i,3,0,1,3,61,10
67.94,i,3,0,1,3,61,10
68.0,i,3,0,1,3,61,10
68.06,i,3,0,1,3,58,7
68.12,i,3,0,1,3,61,10
68.19,i,3,0,1,3,58,7
68.25,i,3,0,1,3,61,10
68.38,i,3,0,1,3,58,7
68.5,i,3,0,1,3,61,10
68.62,i,3,0,1,3,58,7
69.31,i,3,0,1,3,58,7
69.38,i,3,0,1,3,61,10
69.44,i,3,0,1,3,58,7
69.5,i,3,0,1,3,68,5
69.56,i,3,0,1,3,66,3
69.75,i,3,0,1,3,63,0
69.81,i,3,0,1,3,61,10
69.88,i,3,0,1,3,63,0
70.0,i,3,0,1,3,63,0
71.81,i,3,0,1,3,58,7
71.88,i,3,0,1,3,58,7
72.0,i,3,0,1,3,61,10
72.06,i,3,0,1,3,61,10
72.12,i,3,0,1,3,61,10
72.25,i,3,0,1,3,61,10
72.31,i,3,0,1,3,58,7
72.38,i,3,0,1,3,61,10
72.5,i,3,0,1,3,56,5
72.56,i,3,0,1,3,58,7
73.0,IV,8,5,4,3,58,7
73.19,IV,8,5,4,3,61,10
73.25,IV,8,5,4,3,61,10
73.31,IV,8,5,4,3,61,10
73.38,IV,8,5,4,3,58,7
73.44,IV,8,5,4,3,61,10
73.5,IV,8,5,4,3,61,10
73.56,IV,8,5,4,3,56,5
73.69,IV,8,5,4,3,56,5
73.75,IV,8,5,4,3,61,10
73.88,IV,8,5,4,3,58,7
74.0,IV,8,5,4,3,56,5
