Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
36.12,I,4,0,1,4,64,0
36.5,I,4,0,1,4,64,0
36.62,I,4,0,1,4,64,0
36.75,I,4,0,1,4,64,0
36.88,I,4,0,1,4,64,0
37.0,I,4,0,1,4,67,3
37.12,I,4,0,1,4,64,0
37.25,I,4,0,1,4,62,10
37.38,I,4,0,1,4,64,0
38.25,I,4,0,1,4,64,0
38.38,I,4,0,1,4,64,0
38.5,I,4,0,1,4,67,3
38.62,I,4,0,1,4,64,0
38.75,I,4,0,1,4,64,0
38.88,I,4,0,1,4,64,0
39.0,I,4,0,1,4,67,3
39.12,I,4,0,1,4,64,0
39.38,I,4,0,1,4,64,0
39.62,I,4,0,1,4,62,10
39.88,I,4,0,1,4,59,7
40.0,IV,9,5,4,4,59,7
40.0,IV,9,5,4,4,57,5
40.12,IV,9,5,4,4,55,3
40.25,IV,9,5,4,4,57,5
41.62,IV,9,5,4,4,64,0
41.75,IV,9,5,4,4,59,7
42.0,I,4,0,1,4,59,7
42.0,I,4,0,1,4,64,0
43.62,I,4,0,1,4,64,0
43.88,I,4,0,1,4,59,7
44.0,I,4,0,1,4,62,10
44.0,V,11,7,5,4,62,10
45.0,IV,9,5,4,4,62,10
46.0,I,4,0,1,4,62,10
47.25,V,11,7,5,4,62,10
48.0,I,4,0,1,4,62,10
48.25,I,4,0,1,4,64,0
48.38,I,4,0,1,4,62,10
48.5,I,4,0,1,4,64,0
48.75,I,4,0,1,4,64,0
48.88,I,4,0,1,4,62,10
49.0,I,4,0,1,4,64,0
49.12,I,4,0,1,4,62,10
49.25,I,4,0,1,4,64,0
50.25,I,4,0,1,4,64,0
50.38,I,4,0,1,4,67,3
50.62,I,4,0,1,4,67,3
50.75,I,4,0,1,4,64,0
51.0,I,4,0,1,4,68,4
51.12,I,4,0,1,4,64,0
51.38,I,4,0,1,4,64,0
51.62,I,4,0,1,4,62,10
51.88,I,4,0,1,4,58,6
52.0,IV,9,5,4,4,58,6
52.12,IV,9,5,4,4,57,5
52.38,IV,9,5,4,4,55,3
52.62,IV,9,5,4,4,52,0
53.62,IV,9,5,4,4,64,0
53.75,IV,9,5,4,4,59,7
54.0,IV,9,5,4,4,64,0
54.0,I,4,0,1,4,64,0
55.62,I,4,0,1,4,64,0
55.88,I,4,0,1,4,59,7
56.0,I,4,0,1,4,62,10
56.0,V,11,7,5,4,62,10
57.0,IV,9,5,4,4,62,10
58.0,I,4,0,1,4,62,10
59.25,V,11,7,5,4,62,10
60.0,I,4,0,1,4,62,10
60.25,I,4,0,1,4,64,0
60.38,I,4,0,1,4,62,10
60.5,I,4,0,1,4,64,0
60.62,I,4,0,1,4,64,0
61.25,I,4,0,1,4,64,0
61.38,I,4,0,1,4,62,10
61.5,I,4,0,1,4,64,0
62.12,I,4,0,1,4,62,10
62.25,I,4,0,1,4,64,0
62.38,I,4,0,1,4,64,0
62.5,I,4,0,1,4,67,3
62.62,I,4,0,1,4,64,0
62.75,I,4,0,1,4,64,0
62.88,I,4,0,1,4,64,0
63.0,I,4,0,1,4,67,3
63.12,I,4,0,1,4,64,0
63.38,I,4,0,1,4,64,0
63.62,I,4,0,1,4,62,10
63.88,I,4,0,1,4,57,5
64.0,IV,9,5,4,4,57,5
64.38,IV,9,5,4,4,55,3
64.62,IV,9,5,4,4,52,0
65.38,IV,9,5,4,4,59,7
65.5,IV,9,5,4,4,64,0
65.62,IV,9,5,4,4,64,0
65.75,IV,9,5,4,4,59,7
65.88,IV,9,5,4,4,64,0
66.0,I,4,0,1,4,64,0
67.5,I,4,0,1,4,64,0
67.62,I,4,0,1,4,64,0
67.75,I,4,0,1,4,59,7
67.88,I,4,0,1,4,62,10
68.0,V,11,7,5,4,62,10
69.0,IV,9,5,4,4,62,10
70.0,I,4,0,1,4,62,10
71.25,V,11,7,5,4,62,10
72.0,I,4,0,1,4,62,10
76.0,IV,9,5,4,4,62,10
78.0,I,4,0,1,4,62,10
80.0,V,11,7,5,4,62,10
81.0,IV,9,5,4,4,62,10
82.0,I,4,0,1,4,62,10
83.25,V,11,7,5,4,62,10
84.0,I,4,0,1,4,62,10
84.25,I,4,0,1,4,64,0
84.38,I,4,0,1,4,64,0
84.5,I,4,0,1,4,67,3
84.62,I,4,0,1,4,64,0
84.75,I,4,0,1,4,64,0
85.0,I,4,0,1,4,67,3
85.12,I,4,0,1,4,62,10
85.25,I,4,0,1,4,64,0
86.25,I,4,0,1,4,64,0
86.38,I,4,0,1,4,67,3
86.62,I,4,0,1,4,69,5
86.75,I,4,0,1,4,67,3
87.0,I,4,0,1,4,70,6
87.12,I,4,0,1,4,70,6
87.25,I,4,0,1,4,69,5
87.5,I,4,0,1,4,67,3
87.62,I,4,0,1,4,64,0
87.88,I,4,0,1,4,57,5
88.0,IV,9,5,4,4,57,5
89.62,IV,9,5,4,4,64,0
89.75,IV,9,5,4,4,59,7
90.0,I,4,0,1,4,59,7
90.0,I,4,0,1,4,64,0
91.62,I,4,0,1,4,64,0
91.88,I,4,0,1,4,59,7
92.0,V,11,7,5,4,59,7
92.0,V,11,7,5,4,62,10
93.0,IV,9,5,4,4,62,10
94.0,I,4,0,1,4,62,10
95.25,V,11,7,5,4,62,10
96.0,I,4,0,1,4,62,10
96.25,I,4,0,1,4,64,0
96.38,I,4,0,1,4,62,10
96.5,I,4,0,1,4,64,0
96.75,I,4,0,1,4,64,0
96.88,I,4,0,1,4,64,0
97.0,I,4,0,1,4,67,3
97.12,I,4,0,1,4,64,0
97.38,I,4,0,1,4,64,0
98.25,I,4,0,1,4,64,0
98.38,I,4,0,1,4,64,0
98.5,I,4,0,1,4,67,3
98.62,I,4,0,1,4,64,0
98.75,I,4,0,1,4,67,3
99.0,I,4,0,1,4,64,0
99.12,I,4,0,1,4,67,3
99.38,I,4,0,1,4,64,0
99.62,I,4,0,1,4,64,0
100.0,IV,9,5,4,4,64,0
100.12,IV,9,5,4,4,57,5
100.5,IV,9,5,4,4,52,0
101.5,IV,9,5,4,4,64,0
101.62,IV,9,5,4,4,64,0
101.88,IV,9,5,4,4,64,0
102.0,I,4,0,1,4,64,0
103.62,I,4,0,1,4,64,0
103.88,I,4,0,1,4,59,7
104.0,I,4,0,1,4,62,10
104.0,V,11,7,5,4,62,10
105.0,IV,9,5,4,4,62,10
106.0,I,4,0,1,4,62,10
106.5,I,4,0,1,4,64,0
107.25,V,11,7,5,4,64,0
107.25,V,11,7,5,4,64,0
107.38,V,11,7,5,4,64,0
107.5,V,11,7,5,4,67,3
107.62,V,11,7,5,4,64,0
107.88,V,11,7,5,4,64,0
