Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I7,4,0,1,4,61,9
4.25,I7,4,0,1,4,56,4
4.38,I7,4,0,1,4,59,7
4.5,I7,4,0,1,4,59,7
4.56,I7,4,0,1,4,61,9
5.44,I7,4,0,1,4,61,9
5.62,I7,4,0,1,4,59,7
5.81,I7,4,0,1,4,59,7
5.88,I7,4,0,1,4,61,9
6.0,I7,4,0,1,4,56,4
6.0,vi7,1,9,6,4,56,4
6.12,vi7,1,9,6,4,56,4
6.31,vi7,1,9,6,4,54,2
6.56,vi7,1,9,6,4,52,0
8.0,vi7,1,9,6,4,64,0
8.0,I7,4,0,1,4,64,0
8.12,I7,4,0,1,4,59,7
8.19,I7,4,0,1,4,61,9
8.31,I7,4,0,1,4,56,4
8.38,I7,4,0,1,4,59,7
8.56,I7,4,0,1,4,59,7
8.62,I7,4,0,1,4,61,9
9.31,I7,4,0,1,4,59,7
9.5,I7,4,0,1,4,61,9
9.62,I7,4,0,1,4,59,7
9.75,I7,4,0,1,4,59,7
9.81,I7,4,0,1,4,61,9
10.0,vi7,1,9,6,4,61,9
10.0,vi7,1,9,6,4,56,4
10.12,vi7,1,9,6,4,56,4
10.31,vi7,1,9,6,4,54,2
10.44,vi7,1,9,6,4,52,0
10.56,vi7,1,9,6,4,52,0
11.44,vi7,1,9,6,4,61,9
11.5,vi7,1,9,6,4,56,4
11.62,vi7,1,9,6,4,56,4
11.81,vi7,1,9,6,4,54,2
12.0,vi7,1,9,6,4,52,0
12.0,ii7,6,2,2,4,52,0
12.12,ii7,6,2,2,4,54,2
12.19,ii7,6,2,2,4,56,4
12.38,ii7,6,2,2,4,52,0
12.5,ii7,6,2,2,4,52,0
13.5,ii7,6,2,2,4,61,9
13.69,ii7,6,2,2,4,64,0
13.81,ii7,6,2,2,4,66,2
14.0,ii7,6,2,2,4,68,4
14.0,V11,11,7,5,4,68,4
14.12,V11,11,7,5,4,68,4
14.38,V11,11,7,5,4,68,4
14.5,V11,11,7,5,4,66,2
14.62,V11,11,7,5,4,66,2
14.69,V11,11,7,5,4,61,9
15.12,V11,11,7,5,4,63,11
15.38,V11,11,7,5,4,61,9
15.62,V11,11,7,5,4,59,7
16.0,I7,4,0,1,4,59,7
16.0,I7,4,0,1,4,61,9
16.25,I7,4,0,1,4,56,4
16.38,I7,4,0,1,4,59,7
16.56,I7,4,0,1,4,59,7
16.62,I7,4,0,1,4,61,9
17.44,I7,4,0,1,4,61,9
17.56,I7,4,0,1,4,59,7
17.75,I7,4,0,1,4,61,9
17.88,I7,4,0,1,4,56,4
18.0,vi7,1,9,6,4,56,4
18.12,vi7,1,9,6,4,54,2
18.25,vi7,1,9,6,4,56,4
18.38,vi7,1,9,6,4,54,2
18.56,vi7,1,9,6,4,52,0
19.56,vi7,1,9,6,4,52,0
19.62,vi7,1,9,6,4,52,0
20.0,I7,4,0,1,4,52,0
20.0,I7,4,0,1,4,64,0
20.12,I7,4,0,1,4,59,7
20.25,I7,4,0,1,4,61,9
20.38,I7,4,0,1,4,56,4
20.44,I7,4,0,1,4,59,7
20.69,I7,4,0,1,4,59,7
20.75,I7,4,0,1,4,61,9
21.38,I7,4,0,1,4,59,7
21.44,I7,4,0,1,4,61,9
21.56,I7,4,0,1,4,59,7
21.69,I7,4,0,1,4,61,9
21.75,I7,4,0,1,4,56,4
21.88,I7,4,0,1,4,56,4
22.0,vi7,1,9,6,4,56,4
22.12,vi7,1,9,6,4,54,2
22.25,vi7,1,9,6,4,56,4
22.38,vi7,1,9,6,4,54,2
22.56,vi7,1,9,6,4,52,0
23.44,vi7,1,9,6,4,61,9
23.56,vi7,1,9,6,4,56,4
23.69,vi7,1,9,6,4,54,2
23.81,vi7,1,9,6,4,54,2
24.0,vi7,1,9,6,4,52,0
24.0,ii7,6,2,2,4,52,0
24.12,ii7,6,2,2,4,54,2
24.19,ii7,6,2,2,4,56,4
24.56,ii7,6,2,2,4,52,0
24.69,ii7,6,2,2,4,52,0
25.5,ii7,6,2,2,4,61,9
25.62,ii7,6,2,2,4,64,0
25.81,ii7,6,2,2,4,68,4
26.0,V11,11,7,5,4,68,4
26.0,V11,11,7,5,4,68,4
26.12,V11,11,7,5,4,68,4
26.38,V11,11,7,5,4,68,4
26.5,V11,11,7,5,4,66,2
26.56,V11,11,7,5,4,66,2
26.69,V11,11,7,5,4,61,9
26.88,V11,11,7,5,4,63,11
27.06,V11,11,7,5,4,61,9
27.38,V11,11,7,5,4,59,7
27.62,V11,11,7,5,4,61,9
28.0,V11,11,7,5,4,56,4
28.0,ii7,6,2,2,4,56,4
28.06,ii7,6,2,2,4,59,7
28.19,ii7,6,2,2,4,59,7
28.25,ii7,6,2,2,4,61,9
28.88,ii7,6,2,2,4,52,0
29.0,V11,11,7,5,4,52,0
29.0,V11,11,7,5,4,56,4
29.06,V11,11,7,5,4,59,7
29.19,V11,11,7,5,4,59,7
29.25,V11,11,7,5,4,61,9
29.88,V11,11,7,5,4,52,0
30.0,V11,11,7,5,4,56,4
30.0,ii7,6,2,2,4,56,4
30.12,ii7,6,2,2,4,59,7
30.25,ii7,6,2,2,4,61,9
30.62,ii7,6,2,2,4,61,9
30.81,ii7,6,2,2,4,64,0
31.0,ii7,6,2,2,4,61,9
31.0,V11,11,7,5,4,61,9
31.12,V11,11,7,5,4,59,7
31.25,V11,11,7,5,4,59,7
31.31,V11,11,7,5,4,61,9
32.0,ii7,6,2,2,4,61,9
32.0,ii7,6,2,2,4,56,4
32.12,ii7,6,2,2,4,59,7
32.25,ii7,6,2,2,4,61,9
32.88,ii7,6,2,2,4,52,0
33.0,ii7,6,2,2,4,56,4
33.0,V11,11,7,5,4,56,4
33.12,V11,11,7,5,4,59,7
33.25,V11,11,7,5,4,59,7
33.31,V11,11,7,5,4,61,9
33.62,V11,11,7,5,4,68,4
33.88,V11,11,7,5,4,68,4
34.0,I7,4,0,1,4,68,4
34.0,I7,4,0,1,4,66,2
34.12,I7,4,0,1,4,64,0
34.19,I7,4,0,1,4,64,0
34.25,I7,4,0,1,4,59,7
34.31,I7,4,0,1,4,61,9
34.88,I7,4,0,1,4,68,4
35.0,vi7,1,9,6,4,68,4
35.0,vi7,1,9,6,4,66,2
35.12,vi7,1,9,6,4,64,0
35.19,vi7,1,9,6,4,64,0
35.25,vi7,1,9,6,4,59,7
35.31,vi7,1,9,6,4,61,9
35.62,vi7,1,9,6,4,64,0
35.69,vi7,1,9,6,4,66,2
35.88,vi7,1,9,6,4,68,4
36.0,vi7,1,9,6,4,66,2
36.0,I7,4,0,1,4,66,2
36.12,I7,4,0,1,4,64,0
36.19,I7,4,0,1,4,64,0
36.25,I7,4,0,1,4,59,7
36.31,I7,4,0,1,4,61,9
36.62,I7,4,0,1,4,68,4
36.88,I7,4,0,1,4,68,4
37.0,vi7,1,9,6,4,68,4
37.0,vi7,1,9,6,4,66,2
37.12,vi7,1,9,6,4,64,0
37.19,vi7,1,9,6,4,64,0
37.25,vi7,1,9,6,4,59,7
37.31,vi7,1,9,6,4,61,9
37.56,vi7,1,9,6,4,71,7
37.88,vi7,1,9,6,4,64,0
37.94,vi7,1,9,6,4,67,3
38.0,iv7,9,5,4,4,67,3
38.06,iv7,9,5,4,4,69,5
38.19,iv7,9,5,4,4,69,5
38.25,iv7,9,5,4,4,71,7
40.12,iv7,9,5,4,4,71,7
40.31,iv7,9,5,4,4,67,3
40.38,iv7,9,5,4,4,64,0
40.44,iv7,9,5,4,4,67,3
40.56,iv7,9,5,4,4,64,0
40.69,iv7,9,5,4,4,64,0
40.81,iv7,9,5,4,4,67,3
40.94,iv7,9,5,4,4,71,7
41.06,iv7,9,5,4,4,71,7
41.19,iv7,9,5,4,4,67,3
41.22,iv7,9,5,4,4,69,5
41.25,iv7,9,5,4,4,67,3
41.38,iv7,9,5,4,4,64,0
44.12,iv7,9,5,4,4,71,7
44.31,iv7,9,5,4,4,72,8
44.44,iv7,9,5,4,4,72,8
44.5,iv7,9,5,4,4,71,7
44.56,iv7,9,5,4,4,71,7
44.69,iv7,9,5,4,4,71,7
44.75,iv7,9,5,4,4,64,0
44.81,iv7,9,5,4,4,64,0
44.94,iv7,9,5,4,4,64,0
45.0,iv7,9,5,4,4,59,7
45.06,iv7,9,5,4,4,59,7
45.19,iv7,9,5,4,4,59,7
45.31,iv7,9,5,4,4,55,3
45.44,iv7,9,5,4,4,54,2
45.56,iv7,9,5,4,4,52,0
46.0,V11,11,7,5,4,52,0
46.38,V11,11,7,5,4,61,9
46.44,V11,11,7,5,4,64,0
46.56,V11,11,7,5,4,61,9
46.94,V11,11,7,5,4,73,9
47.06,V11,11,7,5,4,67,3
47.19,V11,11,7,5,4,64,0
47.31,V11,11,7,5,4,61,9
47.44,V11,11,7,5,4,73,9
47.56,V11,11,7,5,4,67,3
47.69,V11,11,7,5,4,64,0
48.31,V11,11,7,5,4,59,7
48.38,V11,11,7,5,4,61,9
48.44,V11,11,7,5,4,73,9
48.56,V11,11,7,5,4,67,3
48.69,V11,11,7,5,4,64,0
48.81,V11,11,7,5,4,61,9
48.94,V11,11,7,5,4,68,4
49.06,V11,11,7,5,4,69,5
49.19,V11,11,7,5,4,71,7
49.31,V11,11,7,5,4,68,4
49.44,V11,11,7,5,4,64,0
49.47,V11,11,7,5,4,66,2
49.5,V11,11,7,5,4,64,0
49.62,V11,11,7,5,4,61,9
50.0,V11,11,7,5,4,61,9
50.0,I7,4,0,1,4,61,9
50.25,I7,4,0,1,4,56,4
50.38,I7,4,0,1,4,59,7
50.56,I7,4,0,1,4,59,7
50.62,I7,4,0,1,4,61,9
51.5,I7,4,0,1,4,61,9
51.62,I7,4,0,1,4,59,7
51.69,I7,4,0,1,4,61,9
51.88,I7,4,0,1,4,56,4
52.0,I7,4,0,1,4,59,7
52.0,vi7,1,9,6,4,59,7
52.19,vi7,1,9,6,4,56,4
52.38,vi7,1,9,6,4,54,2
52.44,vi7,1,9,6,4,52,0
53.62,vi7,1,9,6,4,61,9
53.88,vi7,1,9,6,4,61,9
54.0,I7,4,0,1,4,61,9
54.0,I7,4,0,1,4,64,0
54.12,I7,4,0,1,4,59,7
54.19,I7,4,0,1,4,61,9
54.31,I7,4,0,1,4,56,4
54.38,I7,4,0,1,4,59,7
54.56,I7,4,0,1,4,59,7
54.62,I7,4,0,1,4,61,9
55.5,I7,4,0,1,4,61,9
55.62,I7,4,0,1,4,59,7
55.69,I7,4,0,1,4,61,9
55.88,I7,4,0,1,4,56,4
56.0,I7,4,0,1,4,56,4
56.0,vi7,1,9,6,4,56,4
56.19,vi7,1,9,6,4,54,2
56.25,vi7,1,9,6,4,56,4
56.38,vi7,1,9,6,4,54,2
56.56,vi7,1,9,6,4,52,0
57.12,vi7,1,9,6,4,66,2
57.19,vi7,1,9,6,4,68,4
57.44,vi7,1,9,6,4,68,4
57.56,vi7,1,9,6,4,66,2
57.62,vi7,1,9,6,4,64,0
57.75,vi7,1,9,6,4,64,0
58.0,ii7,6,2,2,4,64,0
58.0,ii7,6,2,2,4,64,0
58.12,ii7,6,2,2,4,66,2
58.19,ii7,6,2,2,4,68,4
58.56,ii7,6,2,2,4,64,0
58.69,ii7,6,2,2,4,64,0
59.44,ii7,6,2,2,4,61,9
59.56,ii7,6,2,2,4,64,0
59.69,ii7,6,2,2,4,64,0
59.81,ii7,6,2,2,4,66,2
59.88,ii7,6,2,2,4,68,4
60.0,V11,11,7,5,4,68,4
60.0,V11,11,7,5,4,68,4
60.12,V11,11,7,5,4,68,4
60.25,V11,11,7,5,4,68,4
60.38,V11,11,7,5,4,66,2
60.44,V11,11,7,5,4,66,2
60.5,V11,11,7,5,4,61,9
60.88,V11,11,7,5,4,63,11
61.19,V11,11,7,5,4,61,9
61.25,V11,11,7,5,4,63,11
61.38,V11,11,7,5,4,61,9
61.62,V11,11,7,5,4,59,7
62.0,ii7,6,2,2,4,59,7
62.0,ii7,6,2,2,4,56,4
62.06,ii7,6,2,2,4,59,7
62.19,ii7,6,2,2,4,61,9
62.88,ii7,6,2,2,4,52,0
63.0,V11,11,7,5,4,52,0
63.0,V11,11,7,5,4,56,4
63.06,V11,11,7,5,4,59,7
63.19,V11,11,7,5,4,59,7
63.25,V11,11,7,5,4,61,9
63.88,V11,11,7,5,4,52,0
64.0,V11,11,7,5,4,56,4
64.0,ii7,6,2,2,4,56,4
64.12,ii7,6,2,2,4,59,7
64.25,ii7,6,2,2,4,61,9
64.62,ii7,6,2,2,4,61,9
64.81,ii7,6,2,2,4,61,9
