Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.83,V,8,7,5,1,70,9
3.92,V,8,7,5,1,70,9
4.0,I,1,0,1,1,70,9
4.0,I,1,0,1,1,70,9
4.17,I,1,0,1,1,68,7
4.33,I,1,0,1,1,68,7
4.42,I,1,0,1,1,65,4
4.5,I,1,0,1,1,68,7
4.5,V6,8,7,5,1,68,7
4.67,V6,8,7,5,1,68,7
4.75,V6,8,7,5,1,70,9
5.0,vi,10,9,6,1,70,9
5.25,vi,10,9,6,1,65,4
5.33,vi,10,9,6,1,63,2
5.38,vi,10,9,6,1,61,0
5.46,vi,10,9,6,1,61,0
5.5,I64,1,0,1,1,61,0
5.54,I64,1,0,1,1,58,9
5.58,I64,1,0,1,1,61,0
5.62,I64,1,0,1,1,58,9
5.71,I64,1,0,1,1,61,0
5.79,I64,1,0,1,1,56,7
5.83,I64,1,0,1,1,58,9
5.92,I64,1,0,1,1,56,7
5.96,I64,1,0,1,1,53,4
6.0,IV,6,5,4,1,53,4
6.25,IV,6,5,4,1,65,4
6.33,IV,6,5,4,1,63,2
6.42,IV,6,5,4,1,61,0
6.5,V,8,7,5,1,61,0
6.5,V,8,7,5,1,63,2
6.75,V,8,7,5,1,56,7
6.79,V,8,7,5,1,56,7
6.83,V,8,7,5,1,58,9
6.92,V,8,7,5,1,61,0
7.0,I,1,0,1,1,61,0
7.12,I,1,0,1,1,58,9
7.21,I,1,0,1,1,61,0
7.29,I,1,0,1,1,56,7
7.33,I,1,0,1,1,58,9
7.5,V,8,7,5,1,58,9
7.75,V,8,7,5,1,70,9
7.83,V,8,7,5,1,70,9
7.92,V,8,7,5,1,68,7
8.0,I,1,0,1,1,68,7
8.0,I,1,0,1,1,70,9
8.12,I,1,0,1,1,68,7
8.33,I,1,0,1,1,68,7
8.42,I,1,0,1,1,65,4
8.5,I,1,0,1,1,68,7
8.5,V6,8,7,5,1,68,7
8.71,V6,8,7,5,1,70,9
9.0,vi,10,9,6,1,70,9
9.25,vi,10,9,6,1,65,4
9.29,vi,10,9,6,1,63,2
9.38,vi,10,9,6,1,63,2
9.46,vi,10,9,6,1,61,0
9.5,I64,1,0,1,1,61,0
9.54,I64,1,0,1,1,58,9
9.62,I64,1,0,1,1,61,0
9.71,I64,1,0,1,1,56,7
9.75,I64,1,0,1,1,58,9
9.83,I64,1,0,1,1,56,7
9.88,I64,1,0,1,1,53,4
9.92,I64,1,0,1,1,53,4
10.0,IV,6,5,4,1,53,4
10.25,IV,6,5,4,1,65,4
10.29,IV,6,5,4,1,63,2
10.38,IV,6,5,4,1,63,2
10.46,IV,6,5,4,1,61,0
10.5,IV,6,5,4,1,61,0
10.5,V,8,7,5,1,61,0
10.58,V,8,7,5,1,61,0
10.67,V,8,7,5,1,61,0
10.71,V,8,7,5,1,63,2
10.88,V,8,7,5,1,56,7
10.92,V,8,7,5,1,56,7
11.0,V,8,7,5,1,58,9
11.0,I,1,0,1,1,58,9
11.04,I,1,0,1,1,61,0
11.12,I,1,0,1,1,61,0
11.5,V,8,7,5,1,61,0
11.75,V,8,7,5,1,70,9
11.83,V,8,7,5,1,70,9
12.0,I,1,0,1,1,70,9
12.0,I,1,0,1,1,70,9
12.12,I,1,0,1,1,68,7
12.33,I,1,0,1,1,68,7
12.42,I,1,0,1,1,65,4
12.5,I,1,0,1,1,68,7
12.5,V6,8,7,5,1,68,7
12.67,V6,8,7,5,1,68,7
12.75,V6,8,7,5,1,70,9
13.0,vi,10,9,6,1,70,9
13.25,vi,10,9,6,1,65,4
13.33,vi,10,9,6,1,63,2
13.38,vi,10,9,6,1,63,2
13.46,vi,10,9,6,1,61,0
13.5,I64,1,0,1,1,61,0
13.54,I64,1,0,1,1,61,0
13.62,I64,1,0,1,1,58,9
13.67,I64,1,0,1,1,61,0
13.75,I64,1,0,1,1,58,9
13.88,I64,1,0,1,1,56,7
13.92,I64,1,0,1,1,53,4
14.0,IV,6,5,4,1,53,4
14.25,IV,6,5,4,1,65,4
14.33,IV,6,5,4,1,63,2
14.42,IV,6,5,4,1,63,2
14.5,V,8,7,5,1,63,2
14.5,V,8,7,5,1,61,0
14.58,V,8,7,5,1,63,2
14.83,V,8,7,5,1,56,7
14.92,V,8,7,5,1,58,9
14.96,V,8,7,5,1,61,0
15.0,I,1,0,1,1,61,0
15.12,I,1,0,1,1,58,9
15.17,I,1,0,1,1,61,0
15.33,I,1,0,1,1,58,9
15.5,V,8,7,5,1,58,9
15.75,V,8,7,5,1,70,9
15.83,V,8,7,5,1,70,9
15.92,V,8,7,5,1,68,7
16.0,I,1,0,1,1,68,7
16.0,I,1,0,1,1,70,9
