Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
19.62,I,8,0,1,8,51,7
19.75,I,8,0,1,8,53,9
20.0,I,8,0,1,8,56,0
20.12,I,8,0,1,8,56,0
20.25,I,8,0,1,8,56,0
20.38,I,8,0,1,8,56,0
20.5,I,8,0,1,8,56,0
20.62,I,8,0,1,8,56,0
20.75,I,8,0,1,8,53,9
20.88,I,8,0,1,8,56,0
21.12,I,8,0,1,8,53,9
21.62,I,8,0,1,8,51,7
21.75,I,8,0,1,8,53,9
21.88,I,8,0,1,8,53,9
22.0,I,8,0,1,8,56,0
22.25,I,8,0,1,8,53,9
22.38,I,8,0,1,8,56,0
22.62,I,8,0,1,8,56,0
22.75,I,8,0,1,8,53,9
22.88,I,8,0,1,8,56,0
23.12,I,8,0,1,8,53,9
23.62,I,8,0,1,8,51,7
23.75,I,8,0,1,8,53,9
23.88,I,8,0,1,8,53,9
24.0,I,8,0,1,8,56,0
24.25,I,8,0,1,8,56,0
24.5,I,8,0,1,8,56,0
24.75,I,8,0,1,8,56,0
24.88,I,8,0,1,8,53,9
25.0,I,8,0,1,8,56,0
25.38,I,8,0,1,8,53,9
26.0,I,8,0,1,8,56,0
26.25,I,8,0,1,8,53,9
26.38,I,8,0,1,8,56,0
26.5,I,8,0,1,8,56,0
26.75,I,8,0,1,8,53,9
27.0,I,8,0,1,8,51,7
27.62,I,8,0,1,8,51,7
27.75,I,8,0,1,8,53,9
27.88,I,8,0,1,8,53,9
28.0,I,8,0,1,8,56,0
28.25,I,8,0,1,8,56,0
28.5,I,8,0,1,8,56,0
28.75,I,8,0,1,8,53,9
29.0,I,8,0,1,8,56,0
29.12,I,8,0,1,8,53,9
29.38,I,8,0,1,8,53,9
30.0,I,8,0,1,8,56,0
30.12,I,8,0,1,8,56,0
30.25,I,8,0,1,8,56,0
30.38,I,8,0,1,8,53,9
30.5,I,8,0,1,8,56,0
30.75,I,8,0,1,8,54,10
31.0,I,8,0,1,8,56,0
31.75,I,8,0,1,8,53,9
32.0,I,8,0,1,8,56,0
32.12,I,8,0,1,8,56,0
32.5,I,8,0,1,8,56,0
32.62,I,8,0,1,8,56,0
32.75,I,8,0,1,8,56,0
32.88,I,8,0,1,8,56,0
33.0,I,8,0,1,8,56,0
33.12,I,8,0,1,8,56,0
33.38,I,8,0,1,8,56,0
33.5,I,8,0,1,8,56,0
33.75,I,8,0,1,8,56,0
33.88,I,8,0,1,8,56,0
34.0,I,8,0,1,8,59,3
34.12,I,8,0,1,8,59,3
34.38,I,8,0,1,8,59,3
34.62,I,8,0,1,8,56,0
34.88,I,8,0,1,8,53,9
35.0,I,8,0,1,8,51,7
36.0,I,8,0,1,8,59,3
36.5,I,8,0,1,8,58,2
36.75,I,8,0,1,8,56,0
36.88,I,8,0,1,8,56,0
38.0,I,8,0,1,8,59,3
38.5,I,8,0,1,8,58,2
38.75,I,8,0,1,8,56,0
38.88,I,8,0,1,8,56,0
40.0,I,8,0,1,8,59,3
40.5,I,8,0,1,8,58,2
40.75,I,8,0,1,8,56,0
40.88,I,8,0,1,8,56,0
42.0,I,8,0,1,8,59,3
42.5,I,8,0,1,8,58,2
42.75,I,8,0,1,8,56,0
42.88,I,8,0,1,8,56,0
44.0,I,8,0,1,8,59,3
44.5,I,8,0,1,8,58,2
44.75,I,8,0,1,8,56,0
44.88,I,8,0,1,8,56,0
46.0,I,8,0,1,8,56,0
46.25,I,8,0,1,8,56,0
46.5,I,8,0,1,8,56,0
46.75,I,8,0,1,8,56,0
46.88,I,8,0,1,8,56,0
47.0,I,8,0,1,8,56,0
47.25,I,8,0,1,8,56,0
47.5,I,8,0,1,8,56,0
48.0,I,8,0,1,8,56,0
48.25,I,8,0,1,8,56,0
48.38,I,8,0,1,8,56,0
48.5,I,8,0,1,8,56,0
48.62,I,8,0,1,8,56,0
48.75,I,8,0,1,8,56,0
48.88,I,8,0,1,8,59,3
49.12,I,8,0,1,8,53,9
49.5,I,8,0,1,8,51,7
50.0,I,8,0,1,8,59,3
50.5,I,8,0,1,8,58,2
50.75,I,8,0,1,8,56,0
50.88,I,8,0,1,8,56,0
52.0,I,8,0,1,8,59,3
52.5,I,8,0,1,8,58,2
52.75,I,8,0,1,8,56,0
52.88,I,8,0,1,8,56,0
54.0,I,8,0,1,8,59,3
54.5,I,8,0,1,8,58,2
54.75,I,8,0,1,8,56,0
54.88,I,8,0,1,8,56,0
56.0,I,8,0,1,8,59,3
56.5,I,8,0,1,8,58,2
56.75,I,8,0,1,8,56,0
56.88,I,8,0,1,8,56,0
57.62,I,8,0,1,8,51,7
57.75,I,8,0,1,8,53,9
57.88,I,8,0,1,8,53,9
58.0,I,8,0,1,8,56,0
58.25,I,8,0,1,8,53,9
58.38,I,8,0,1,8,56,0
58.75,I,8,0,1,8,53,9
58.88,I,8,0,1,8,53,9
59.0,I,8,0,1,8,56,0
59.12,I,8,0,1,8,56,0
59.25,I,8,0,1,8,56,0
59.5,I,8,0,1,8,56,0
60.0,I,8,0,1,8,56,0
60.12,I,8,0,1,8,56,0
60.25,I,8,0,1,8,56,0
60.38,I,8,0,1,8,56,0
60.5,I,8,0,1,8,56,0
60.62,I,8,0,1,8,56,0
60.75,I,8,0,1,8,56,0
61.0,I,8,0,1,8,59,3
61.12,I,8,0,1,8,59,3
61.25,I,8,0,1,8,53,9
61.38,I,8,0,1,8,51,7
62.0,I,8,0,1,8,59,3
62.5,I,8,0,1,8,58,2
62.75,I,8,0,1,8,56,0
62.88,I,8,0,1,8,56,0
64.0,I,8,0,1,8,59,3
64.5,I,8,0,1,8,58,2
64.75,I,8,0,1,8,56,0
64.88,I,8,0,1,8,56,0
66.0,I,8,0,1,8,59,3
66.5,I,8,0,1,8,58,2
66.75,I,8,0,1,8,56,0
66.88,I,8,0,1,8,56,0
68.0,I,8,0,1,8,59,3
68.5,I,8,0,1,8,58,2
68.75,I,8,0,1,8,56,0
68.88,I,8,0,1,8,56,0
98.0,I,8,0,1,8,56,0
98.25,I,8,0,1,8,54,10
98.38,I,8,0,1,8,56,0
98.75,I,8,0,1,8,54,10
98.88,I,8,0,1,8,51,7
99.0,I,8,0,1,8,56,0
99.25,I,8,0,1,8,56,0
99.38,I,8,0,1,8,54,10
100.0,I,8,0,1,8,56,0
100.25,I,8,0,1,8,54,10
100.38,I,8,0,1,8,56,0
100.62,I,8,0,1,8,56,0
100.88,I,8,0,1,8,59,3
101.25,I,8,0,1,8,53,9
101.38,I,8,0,1,8,53,9
101.5,I,8,0,1,8,51,7
102.0,I,8,0,1,8,56,0
102.12,I,8,0,1,8,56,0
102.38,I,8,0,1,8,56,0
102.62,I,8,0,1,8,53,9
103.0,I,8,0,1,8,56,0
103.25,I,8,0,1,8,56,0
103.38,I,8,0,1,8,56,0
103.5,I,8,0,1,8,53,9
104.0,I,8,0,1,8,56,0
104.25,I,8,0,1,8,56,0
104.38,I,8,0,1,8,56,0
104.5,I,8,0,1,8,56,0
104.75,I,8,0,1,8,56,0
105.0,I,8,0,1,8,56,0
105.12,I,8,0,1,8,56,0
105.38,I,8,0,1,8,53,9
106.0,I,8,0,1,8,59,3
106.5,I,8,0,1,8,58,2
106.75,I,8,0,1,8,56,0
106.88,I,8,0,1,8,56,0
108.0,I,8,0,1,8,59,3
108.5,I,8,0,1,8,58,2
108.75,I,8,0,1,8,56,0
108.88,I,8,0,1,8,56,0
110.0,I,8,0,1,8,59,3
110.5,I,8,0,1,8,58,2
110.75,I,8,0,1,8,56,0
110.88,I,8,0,1,8,56,0
112.0,I,8,0,1,8,59,3
112.5,I,8,0,1,8,58,2
112.75,I,8,0,1,8,56,0
112.88,I,8,0,1,8,56,0
114.0,I,8,0,1,8,56,0
114.25,I,8,0,1,8,56,0
114.5,I,8,0,1,8,56,0
114.75,I,8,0,1,8,56,0
115.0,I,8,0,1,8,56,0
115.12,I,8,0,1,8,56,0
115.38,I,8,0,1,8,56,0
115.62,I,8,0,1,8,56,0
115.75,I,8,0,1,8,56,0
115.88,I,8,0,1,8,56,0
