Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.69,I,4,0,1,4,71,7
4.75,bVII,2,10,7,4,71,7
4.81,bVII,2,10,7,4,71,7
5.0,I,4,0,1,4,71,7
5.06,I,4,0,1,4,71,7
5.12,I,4,0,1,4,69,5
5.25,I,4,0,1,4,67,3
5.31,I,4,0,1,4,62,10
5.69,I,4,0,1,4,64,0
5.75,bVII,2,10,7,4,64,0
5.75,bVII,2,10,7,4,62,10
5.81,bVII,2,10,7,4,64,0
5.88,bVII,2,10,7,4,64,0
6.0,I,4,0,1,4,64,0
6.06,I,4,0,1,4,67,3
6.25,I,4,0,1,4,64,0
6.31,I,4,0,1,4,62,10
6.69,I,4,0,1,4,71,7
6.75,bVII,2,10,7,4,71,7
6.81,bVII,2,10,7,4,71,7
6.88,bVII,2,10,7,4,71,7
7.0,I,4,0,1,4,71,7
7.0,I,4,0,1,4,71,7
7.19,I,4,0,1,4,69,5
7.31,I,4,0,1,4,67,3
7.75,I,4,0,1,4,64,0
7.75,bVII,2,10,7,4,64,0
7.88,bVII,2,10,7,4,64,0
8.0,bVII,2,10,7,4,67,3
8.0,I,4,0,1,4,67,3
8.06,I,4,0,1,4,68,4
8.19,I,4,0,1,4,64,0
8.25,I,4,0,1,4,62,10
8.75,bVII,2,10,7,4,62,10
9.0,I,4,0,1,4,62,10
9.0,I,4,0,1,4,69,5
9.06,I,4,0,1,4,71,7
9.19,I,4,0,1,4,69,5
9.38,I,4,0,1,4,67,3
9.5,I,4,0,1,4,64,0
9.56,I,4,0,1,4,62,10
9.75,bVII,2,10,7,4,62,10
10.0,I,4,0,1,4,62,10
10.06,I,4,0,1,4,59,7
10.12,I,4,0,1,4,64,0
10.19,I,4,0,1,4,62,10
10.25,I,4,0,1,4,64,0
10.44,I,4,0,1,4,67,3
10.62,I,4,0,1,4,62,10
10.75,bVII,2,10,7,4,62,10
11.0,I,4,0,1,4,62,10
11.06,I,4,0,1,4,59,7
11.12,I,4,0,1,4,71,7
11.19,I,4,0,1,4,71,7
11.25,I,4,0,1,4,69,5
11.31,I,4,0,1,4,69,5
11.38,I,4,0,1,4,71,7
11.5,I,4,0,1,4,69,5
11.56,I,4,0,1,4,67,3
11.75,bVII,2,10,7,4,67,3
