Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.92,I,0,0,1,0,63,3
4.17,I,0,0,1,0,63,3
4.25,I,0,0,1,0,62,2
4.42,I,0,0,1,0,60,0
4.5,I,0,0,1,0,64,4
4.67,I,0,0,1,0,60,0
4.92,I,0,0,1,0,63,3
5.25,I,0,0,1,0,62,2
5.33,I,0,0,1,0,60,0
5.5,I,0,0,1,0,63,3
5.67,I,0,0,1,0,57,9
5.75,I,0,0,1,0,60,0
5.92,I,0,0,1,0,60,0
6.0,I,0,0,1,0,60,0
7.67,I,0,0,1,0,55,7
7.75,I,0,0,1,0,57,9
7.92,I,0,0,1,0,60,0
8.0,I,0,0,1,0,63,3
8.0,IV,5,5,4,0,63,3
8.17,IV,5,5,4,0,63,3
8.25,IV,5,5,4,0,63,3
8.42,IV,5,5,4,0,60,0
8.5,IV,5,5,4,0,63,3
8.67,IV,5,5,4,0,60,0
9.0,IV,5,5,4,0,63,3
9.17,IV,5,5,4,0,63,3
9.25,IV,5,5,4,0,63,3
9.42,IV,5,5,4,0,63,3
9.67,IV,5,5,4,0,60,0
9.92,IV,5,5,4,0,58,10
10.0,I,0,0,1,0,58,10
10.0,I,0,0,1,0,60,0
11.67,I,0,0,1,0,62,2
11.75,I,0,0,1,0,62,2
11.92,I,0,0,1,0,62,2
12.0,V,7,7,5,0,62,2
12.17,V,7,7,5,0,63,3
12.92,V,7,7,5,0,63,3
13.0,IV,5,5,4,0,63,3
13.17,IV,5,5,4,0,60,0
13.25,IV,5,5,4,0,62,2
13.42,IV,5,5,4,0,60,0
13.5,IV,5,5,4,0,63,3
13.67,IV,5,5,4,0,57,9
13.75,IV,5,5,4,0,60,0
13.92,IV,5,5,4,0,60,0
14.0,I,0,0,1,0,60,0
14.0,I,0,0,1,0,60,0
15.67,I,0,0,1,0,62,2
15.75,I,0,0,1,0,63,3
15.92,I,0,0,1,0,63,3
16.0,I,0,0,1,0,63,3
16.17,I,0,0,1,0,63,3
16.25,I,0,0,1,0,62,2
16.42,I,0,0,1,0,60,0
16.5,I,0,0,1,0,63,3
16.67,I,0,0,1,0,60,0
17.0,I,0,0,1,0,63,3
17.17,I,0,0,1,0,62,2
17.42,I,0,0,1,0,63,3
17.67,I,0,0,1,0,57,9
17.75,I,0,0,1,0,60,0
17.92,I,0,0,1,0,60,0
18.0,I,0,0,1,0,60,0
18.25,I,0,0,1,0,63,3
19.17,I,0,0,1,0,70,10
19.5,I,0,0,1,0,65,5
19.92,I,0,0,1,0,65,5
20.0,IV,5,5,4,0,65,5
20.17,IV,5,5,4,0,65,5
20.25,IV,5,5,4,0,60,0
20.42,IV,5,5,4,0,60,0
20.5,IV,5,5,4,0,63,3
20.67,IV,5,5,4,0,60,0
21.0,IV,5,5,4,0,63,3
21.17,IV,5,5,4,0,63,3
21.25,IV,5,5,4,0,62,2
21.42,IV,5,5,4,0,60,0
21.5,IV,5,5,4,0,63,3
21.75,IV,5,5,4,0,60,0
21.92,IV,5,5,4,0,57,9
22.0,I,0,0,1,0,57,9
22.0,I,0,0,1,0,60,0
22.25,I,0,0,1,0,55,7
23.67,I,0,0,1,0,63,3
23.75,I,0,0,1,0,62,2
23.92,I,0,0,1,0,63,3
24.0,V,7,7,5,0,63,3
24.17,V,7,7,5,0,63,3
24.92,V,7,7,5,0,63,3
25.0,IV,5,5,4,0,63,3
25.25,IV,5,5,4,0,62,2
25.33,IV,5,5,4,0,60,0
25.5,IV,5,5,4,0,62,2
25.67,IV,5,5,4,0,57,9
25.75,IV,5,5,4,0,60,0
25.92,IV,5,5,4,0,60,0
26.0,I,0,0,1,0,60,0
26.0,I,0,0,1,0,60,0
27.17,I,0,0,1,0,60,0
27.67,I,0,0,1,0,60,0
27.75,I,0,0,1,0,60,0
28.0,I,0,0,1,0,60,0
28.5,I,0,0,1,0,60,0
28.75,I,0,0,1,0,58,10
28.92,I,0,0,1,0,60,0
29.0,I,0,0,1,0,63,3
29.17,I,0,0,1,0,60,0
29.67,I,0,0,1,0,60,0
29.75,I,0,0,1,0,60,0
30.0,I,0,0,1,0,60,0
30.5,I,0,0,1,0,60,0
30.75,I,0,0,1,0,58,10
30.92,I,0,0,1,0,60,0
31.0,I,0,0,1,0,63,3
31.17,I,0,0,1,0,60,0
31.67,I,0,0,1,0,60,0
31.75,I,0,0,1,0,60,0
32.0,IV,5,5,4,0,60,0
32.0,IV,5,5,4,0,60,0
32.25,IV,5,5,4,0,60,0
32.5,IV,5,5,4,0,60,0
32.75,IV,5,5,4,0,58,10
32.92,IV,5,5,4,0,63,3
33.17,IV,5,5,4,0,57,9
33.67,IV,5,5,4,0,57,9
33.75,IV,5,5,4,0,60,0
34.0,I,0,0,1,0,60,0
34.0,I,0,0,1,0,60,0
34.5,I,0,0,1,0,60,0
34.75,I,0,0,1,0,60,0
34.92,I,0,0,1,0,60,0
35.67,I,0,0,1,0,62,2
35.75,I,0,0,1,0,62,2
35.92,I,0,0,1,0,63,3
36.0,V,7,7,5,0,63,3
36.17,V,7,7,5,0,63,3
36.92,V,7,7,5,0,63,3
37.0,IV,5,5,4,0,63,3
37.17,IV,5,5,4,0,60,0
37.25,IV,5,5,4,0,62,2
37.33,IV,5,5,4,0,60,0
37.5,IV,5,5,4,0,63,3
37.67,IV,5,5,4,0,57,9
37.75,IV,5,5,4,0,60,0
37.92,IV,5,5,4,0,60,0
38.0,I,0,0,1,0,60,0
38.0,I,0,0,1,0,60,0
38.67,I,0,0,1,0,62,2
39.17,I,0,0,1,0,65,5
39.42,I,0,0,1,0,65,5
44.0,IV,5,5,4,0,65,5
46.0,I,0,0,1,0,65,5
48.0,V,7,7,5,0,65,5
50.0,I,0,0,1,0,65,5
56.0,IV,5,5,4,0,65,5
58.0,I,0,0,1,0,65,5
60.0,V,7,7,5,0,65,5
61.0,IV,5,5,4,0,65,5
62.0,I,0,0,1,0,65,5
62.67,I,0,0,1,0,63,3
63.67,I,0,0,1,0,63,3
63.75,I,0,0,1,0,63,3
63.92,I,0,0,1,0,63,3
64.17,I,0,0,1,0,63,3
64.25,I,0,0,1,0,62,2
64.42,I,0,0,1,0,60,0
64.5,I,0,0,1,0,63,3
64.67,I,0,0,1,0,60,0
64.92,I,0,0,1,0,63,3
65.17,I,0,0,1,0,63,3
65.42,I,0,0,1,0,62,2
65.67,I,0,0,1,0,57,9
65.75,I,0,0,1,0,60,0
65.92,I,0,0,1,0,60,0
66.0,I,0,0,1,0,60,0
66.25,I,0,0,1,0,60,0
66.5,I,0,0,1,0,60,0
66.75,I,0,0,1,0,60,0
67.0,I,0,0,1,0,60,0
67.25,I,0,0,1,0,60,0
67.5,I,0,0,1,0,60,0
67.92,I,0,0,1,0,62,2
68.0,IV,5,5,4,0,62,2
68.17,IV,5,5,4,0,63,3
68.25,IV,5,5,4,0,62,2
68.42,IV,5,5,4,0,60,0
68.5,IV,5,5,4,0,63,3
68.67,IV,5,5,4,0,60,0
69.0,IV,5,5,4,0,67,7
69.17,IV,5,5,4,0,67,7
69.25,IV,5,5,4,0,67,7
69.42,IV,5,5,4,0,60,0
69.5,IV,5,5,4,0,63,3
69.67,IV,5,5,4,0,65,5
69.75,IV,5,5,4,0,63,3
69.92,IV,5,5,4,0,65,5
70.0,I,0,0,1,0,65,5
70.0,I,0,0,1,0,62,2
70.17,I,0,0,1,0,60,0
71.67,I,0,0,1,0,63,3
71.75,I,0,0,1,0,63,3
71.92,I,0,0,1,0,63,3
72.0,V,7,7,5,0,63,3
72.17,V,7,7,5,0,63,3
72.25,V,7,7,5,0,62,2
72.92,V,7,7,5,0,63,3
73.0,IV,5,5,4,0,63,3
73.17,IV,5,5,4,0,60,0
73.25,IV,5,5,4,0,63,3
73.33,IV,5,5,4,0,63,3
73.5,IV,5,5,4,0,63,3
73.67,IV,5,5,4,0,57,9
73.75,IV,5,5,4,0,60,0
73.92,IV,5,5,4,0,60,0
74.0,IV,5,5,4,0,60,0
74.0,I,0,0,1,0,60,0
74.92,I,0,0,1,0,62,2
75.17,I,0,0,1,0,57,9
75.42,I,0,0,1,0,57,9
75.5,I,0,0,1,0,60,0
76.0,I,0,0,1,0,60,0
76.25,I,0,0,1,0,60,0
77.17,I,0,0,1,0,67,7
77.67,I,0,0,1,0,55,7
77.92,I,0,0,1,0,67,7
78.0,I,0,0,1,0,60,0
78.17,I,0,0,1,0,63,3
79.42,I,0,0,1,0,63,3
80.0,IV,5,5,4,0,63,3
80.83,IV,5,5,4,0,60,0
80.92,IV,5,5,4,0,60,0
81.0,IV,5,5,4,0,63,3
81.17,IV,5,5,4,0,63,3
81.25,IV,5,5,4,0,64,4
81.42,IV,5,5,4,0,65,5
81.75,IV,5,5,4,0,63,3
81.83,IV,5,5,4,0,60,0
82.0,I,0,0,1,0,60,0
83.25,I,0,0,1,0,52,4
