Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.25,I,0,0,1,0,60,0
4.38,I,0,0,1,0,60,0
4.75,I,0,0,1,0,62,2
4.88,I,0,0,1,0,62,2
5.12,I,0,0,1,0,60,0
5.75,I,0,0,1,0,64,4
6.0,I,0,0,1,0,64,4
6.0,ii65,2,2,2,0,64,4
6.5,ii65,2,2,2,0,62,2
7.0,V,7,7,5,0,62,2
8.0,I,0,0,1,0,62,2
8.25,I,0,0,1,0,60,0
8.38,I,0,0,1,0,60,0
8.75,I,0,0,1,0,62,2
8.88,I,0,0,1,0,62,2
9.12,I,0,0,1,0,60,0
9.75,I,0,0,1,0,69,9
10.0,I,0,0,1,0,69,9
10.0,V43,7,7,5,0,69,9
10.5,V43,7,7,5,0,67,7
11.75,V43,7,7,5,0,65,5
11.88,V43,7,7,5,0,64,4
12.0,V/vi,4,4,3,0,64,4
12.75,V/vi,4,4,3,0,59,11
12.88,V/vi,4,4,3,0,64,4
13.62,V/vi,4,4,3,0,62,2
14.0,V/vi,4,4,3,0,62,2
14.0,vi,9,9,6,0,62,2
14.12,vi,9,9,6,0,60,0
14.25,vi,9,9,6,0,59,11
14.38,vi,9,9,6,0,62,2
14.62,vi,9,9,6,0,60,0
14.75,vi,9,9,6,0,57,9
16.0,IV,5,5,4,0,57,9
16.25,IV,5,5,4,0,60,0
16.5,IV,5,5,4,0,60,0
16.75,IV,5,5,4,0,64,4
17.0,V,7,7,5,0,64,4
17.0,V,7,7,5,0,64,4
17.25,V,7,7,5,0,62,2
17.75,V,7,7,5,0,62,2
18.0,I,0,0,1,0,62,2
18.0,I,0,0,1,0,62,2
18.38,I,0,0,1,0,60,0
18.5,I,0,0,1,0,60,0
20.25,I,0,0,1,0,60,0
20.5,I,0,0,1,0,60,0
20.75,I,0,0,1,0,62,2
21.0,I,0,0,1,0,62,2
21.25,I,0,0,1,0,60,0
22.0,ii65,2,2,2,0,60,0
22.0,ii65,2,2,2,0,64,4
22.38,ii65,2,2,2,0,62,2
22.5,ii65,2,2,2,0,62,2
23.0,V,7,7,5,0,62,2
24.0,I,0,0,1,0,62,2
24.25,I,0,0,1,0,60,0
24.5,I,0,0,1,0,60,0
24.75,I,0,0,1,0,62,2
25.0,I,0,0,1,0,62,2
25.25,I,0,0,1,0,60,0
26.0,I,0,0,1,0,69,9
26.0,V43,7,7,5,0,69,9
26.38,V43,7,7,5,0,67,7
26.5,V43,7,7,5,0,67,7
27.75,V43,7,7,5,0,65,5
27.88,V43,7,7,5,0,64,4
28.0,V/vi,4,4,3,0,64,4
28.75,V/vi,4,4,3,0,59,11
28.88,V/vi,4,4,3,0,64,4
