Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
12.62,I,2,0,1,2,52,2
12.75,I,2,0,1,2,52,2
12.88,I,2,0,1,2,54,4
13.0,V,9,7,5,2,54,4
13.25,V,9,7,5,2,52,2
13.5,V,9,7,5,2,50,0
13.62,V,9,7,5,2,52,2
13.88,V,9,7,5,2,52,2
14.0,V,9,7,5,2,54,4
14.0,vi,11,9,6,2,54,4
14.62,vi,11,9,6,2,54,4
14.75,vi,11,9,6,2,55,5
14.88,vi,11,9,6,2,54,4
15.0,IV,7,5,4,2,54,4
15.25,IV,7,5,4,2,52,2
15.5,IV,7,5,4,2,50,0
15.62,IV,7,5,4,2,50,0
15.75,IV,7,5,4,2,52,2
15.88,IV,7,5,4,2,50,0
16.0,I,2,0,1,2,50,0
16.62,I,2,0,1,2,50,0
16.88,I,2,0,1,2,57,7
17.0,V,9,7,5,2,57,7
17.75,V,9,7,5,2,45,7
17.88,V,9,7,5,2,47,9
18.0,vi,11,9,6,2,47,9
19.0,IV,7,5,4,2,47,9
20.0,I,2,0,1,2,47,9
20.62,I,2,0,1,2,54,4
20.75,I,2,0,1,2,54,4
20.88,I,2,0,1,2,54,4
21.0,V,9,7,5,2,54,4
21.25,V,9,7,5,2,52,2
21.5,V,9,7,5,2,50,0
21.62,V,9,7,5,2,52,2
21.88,V,9,7,5,2,54,4
22.0,vi,11,9,6,2,54,4
22.38,vi,11,9,6,2,47,9
22.44,vi,11,9,6,2,47,9
22.5,vi,11,9,6,2,54,4
22.62,vi,11,9,6,2,55,5
22.88,vi,11,9,6,2,54,4
23.0,IV,7,5,4,2,54,4
23.25,IV,7,5,4,2,52,2
23.5,IV,7,5,4,2,50,0
23.62,IV,7,5,4,2,52,2
23.88,IV,7,5,4,2,50,0
24.0,I,2,0,1,2,50,0
24.62,I,2,0,1,2,50,0
24.75,I,2,0,1,2,50,0
24.88,I,2,0,1,2,57,7
25.0,V,9,7,5,2,57,7
25.75,V,9,7,5,2,45,7
25.88,V,9,7,5,2,47,9
26.0,vi,11,9,6,2,47,9
26.12,vi,11,9,6,2,54,4
27.0,IV,7,5,4,2,54,4
27.5,IV,7,5,4,2,50,0
27.62,IV,7,5,4,2,50,0
27.75,IV,7,5,4,2,50,0
27.88,IV,7,5,4,2,52,2
28.0,I,2,0,1,2,52,2
28.12,I,2,0,1,2,54,4
29.0,V,9,7,5,2,54,4
29.5,V,9,7,5,2,52,2
29.62,V,9,7,5,2,52,2
29.88,V,9,7,5,2,54,4
30.0,V,9,7,5,2,52,2
30.0,vi,11,9,6,2,52,2
30.38,vi,11,9,6,2,50,0
30.62,vi,11,9,6,2,50,0
31.0,IV,7,5,4,2,50,0
32.0,I,2,0,1,2,50,0
32.62,I,2,0,1,2,54,4
32.75,I,2,0,1,2,54,4
32.88,I,2,0,1,2,54,4
33.0,V,9,7,5,2,54,4
33.25,V,9,7,5,2,52,2
33.5,V,9,7,5,2,50,0
33.62,V,9,7,5,2,52,2
33.88,V,9,7,5,2,54,4
34.0,vi,11,9,6,2,54,4
34.38,vi,11,9,6,2,45,7
34.5,vi,11,9,6,2,54,4
34.62,vi,11,9,6,2,55,5
34.88,vi,11,9,6,2,54,4
35.0,IV,7,5,4,2,54,4
35.25,IV,7,5,4,2,52,2
35.38,IV,7,5,4,2,50,0
35.62,IV,7,5,4,2,52,2
35.88,IV,7,5,4,2,50,0
36.0,I,2,0,1,2,50,0
36.62,I,2,0,1,2,50,0
36.75,I,2,0,1,2,50,0
36.88,I,2,0,1,2,57,7
37.0,V,9,7,5,2,57,7
37.62,V,9,7,5,2,45,7
37.88,V,9,7,5,2,47,9
38.0,vi,11,9,6,2,47,9
38.12,vi,11,9,6,2,54,4
39.0,IV,7,5,4,2,54,4
39.5,IV,7,5,4,2,50,0
39.62,IV,7,5,4,2,50,0
39.75,IV,7,5,4,2,50,0
39.88,IV,7,5,4,2,52,2
40.0,I,2,0,1,2,52,2
40.12,I,2,0,1,2,54,4
41.0,V,9,7,5,2,54,4
41.5,V,9,7,5,2,64,2
41.62,V,9,7,5,2,64,2
41.88,V,9,7,5,2,69,7
42.0,vi,11,9,6,2,69,7
42.12,vi,11,9,6,2,67,5
42.38,vi,11,9,6,2,66,4
42.62,vi,11,9,6,2,64,2
