Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
24.75,IV64,2,5,4,9,57,0
24.88,IV64,2,5,4,9,57,0
25.0,I,9,0,1,9,57,0
25.0,I,9,0,1,9,61,4
25.25,I,9,0,1,9,64,7
25.5,I,9,0,1,9,64,7
25.75,I,9,0,1,9,64,7
25.88,I,9,0,1,9,64,7
26.0,IV64,2,5,4,9,64,7
26.0,IV64,2,5,4,9,66,9
26.75,IV64,2,5,4,9,57,0
26.88,IV64,2,5,4,9,57,0
27.0,IV64,2,5,4,9,61,4
27.0,I,9,0,1,9,61,4
27.25,I,9,0,1,9,64,7
27.5,I,9,0,1,9,64,7
27.62,I,9,0,1,9,64,7
27.88,I,9,0,1,9,64,7
28.0,I,9,0,1,9,66,9
28.0,IV64,2,5,4,9,66,9
28.75,IV64,2,5,4,9,57,0
28.88,IV64,2,5,4,9,57,0
29.0,IV64,2,5,4,9,61,4
29.0,I,9,0,1,9,61,4
29.25,I,9,0,1,9,64,7
29.5,I,9,0,1,9,64,7
29.62,I,9,0,1,9,64,7
29.88,I,9,0,1,9,66,9
30.0,IV64,2,5,4,9,66,9
30.12,IV64,2,5,4,9,66,9
30.5,IV64,2,5,4,9,64,7
30.62,IV64,2,5,4,9,64,7
30.75,IV64,2,5,4,9,62,5
30.88,IV64,2,5,4,9,59,2
31.0,V,4,7,5,9,59,2
32.0,bIII,0,3,3,9,59,2
32.5,bVII,7,10,7,9,59,2
32.75,bVII,7,10,7,9,57,0
32.88,bVII,7,10,7,9,57,0
33.0,bVII,7,10,7,9,61,4
33.0,I,9,0,1,9,61,4
33.25,I,9,0,1,9,64,7
33.5,I,9,0,1,9,64,7
33.75,I,9,0,1,9,64,7
33.88,I,9,0,1,9,64,7
34.0,IV64,2,5,4,9,64,7
34.0,IV64,2,5,4,9,66,9
34.75,IV64,2,5,4,9,57,0
34.88,IV64,2,5,4,9,57,0
35.0,I,9,0,1,9,57,0
35.0,I,9,0,1,9,61,4
35.25,I,9,0,1,9,64,7
35.5,I,9,0,1,9,64,7
35.62,I,9,0,1,9,64,7
35.88,I,9,0,1,9,64,7
36.0,IV64,2,5,4,9,64,7
36.0,IV64,2,5,4,9,66,9
36.75,IV64,2,5,4,9,57,0
36.88,IV64,2,5,4,9,57,0
37.0,I,9,0,1,9,57,0
37.0,I,9,0,1,9,64,7
37.5,I,9,0,1,9,64,7
37.75,I,9,0,1,9,64,7
37.88,I,9,0,1,9,66,9
38.0,IV64,2,5,4,9,66,9
38.12,IV64,2,5,4,9,66,9
38.5,IV64,2,5,4,9,64,7
38.75,IV64,2,5,4,9,64,7
38.88,IV64,2,5,4,9,62,5
39.0,IV64,2,5,4,9,59,2
39.0,V,4,7,5,9,59,2
40.0,bIII,0,3,3,9,59,2
40.5,bVII,7,10,7,9,59,2
40.88,bVII,7,10,7,9,57,0
41.0,bVII,7,10,7,9,54,9
41.0,IV,2,5,4,9,54,9
41.25,IV,2,5,4,9,57,0
41.5,IV,2,5,4,9,61,4
41.5,I,9,0,1,9,61,4
41.75,I,9,0,1,9,59,2
41.88,I,9,0,1,9,57,0
42.0,I,9,0,1,9,57,0
42.0,IV,2,5,4,9,57,0
42.25,IV,2,5,4,9,59,2
42.38,IV,2,5,4,9,57,0
42.5,I,9,0,1,9,57,0
42.5,I,9,0,1,9,61,4
42.75,I,9,0,1,9,57,0
43.0,I,9,0,1,9,54,9
43.0,IV,2,5,4,9,54,9
43.12,IV,2,5,4,9,57,0
43.38,IV,2,5,4,9,59,2
43.5,I,9,0,1,9,59,2
43.5,I,9,0,1,9,61,4
43.75,I,9,0,1,9,59,2
43.88,I,9,0,1,9,57,0
44.0,IV,2,5,4,9,57,0
44.0,IV,2,5,4,9,59,2
44.12,IV,2,5,4,9,57,0
44.25,IV,2,5,4,9,57,0
44.38,IV,2,5,4,9,59,2
44.5,I,9,0,1,9,59,2
44.5,I,9,0,1,9,61,4
44.75,I,9,0,1,9,57,0
45.0,I,9,0,1,9,54,9
45.0,IV,2,5,4,9,54,9
45.12,IV,2,5,4,9,57,0
45.38,IV,2,5,4,9,61,4
45.5,I,9,0,1,9,61,4
45.75,I,9,0,1,9,59,2
45.88,I,9,0,1,9,57,0
46.0,IV,2,5,4,9,57,0
46.0,IV,2,5,4,9,57,0
46.25,IV,2,5,4,9,57,0
46.38,IV,2,5,4,9,59,2
46.5,I,9,0,1,9,59,2
46.5,I,9,0,1,9,61,4
47.0,I,9,0,1,9,62,5
47.0,bVII,7,10,7,9,62,5
47.12,bVII,7,10,7,9,61,4
47.25,bVII,7,10,7,9,62,5
47.38,bVII,7,10,7,9,61,4
47.5,bVII,7,10,7,9,62,5
47.75,bVII,7,10,7,9,62,5
47.88,bVII,7,10,7,9,61,4
48.0,bVII,7,10,7,9,59,2
48.0,V,4,7,5,9,59,2
49.0,V,4,7,5,9,62,5
49.0,bVII,7,10,7,9,62,5
49.25,bVII,7,10,7,9,62,5
49.5,bVII,7,10,7,9,62,5
49.75,bVII,7,10,7,9,64,7
49.88,bVII,7,10,7,9,61,4
50.0,bVII,7,10,7,9,59,2
50.0,V,4,7,5,9,59,2
50.75,V,4,7,5,9,59,2
50.88,V,4,7,5,9,61,4
51.0,bVII,7,10,7,9,61,4
51.0,bVII,7,10,7,9,62,5
51.12,bVII,7,10,7,9,62,5
51.38,bVII,7,10,7,9,62,5
51.5,bVII,7,10,7,9,64,7
51.75,bVII,7,10,7,9,54,9
52.0,IV,2,5,4,9,54,9
52.0,IV,2,5,4,9,57,0
54.88,IV,2,5,4,9,61,4
55.0,IV,2,5,4,9,62,5
55.25,IV,2,5,4,9,62,5
55.38,IV,2,5,4,9,62,5
55.62,IV,2,5,4,9,61,4
55.75,IV,2,5,4,9,64,7
56.0,I,9,0,1,9,64,7
56.0,I,9,0,1,9,57,0
57.0,bVII,7,10,7,9,57,0
57.5,IV,2,5,4,9,57,0
58.0,I,9,0,1,9,57,0
59.0,bVII,7,10,7,9,57,0
59.5,IV,2,5,4,9,57,0
60.0,I,9,0,1,9,57,0
61.0,IV64,2,5,4,9,57,0
62.0,I,9,0,1,9,57,0
63.0,IV64,2,5,4,9,57,0
63.88,IV64,2,5,4,9,57,0
64.0,I,9,0,1,9,57,0
64.0,I,9,0,1,9,61,4
64.25,I,9,0,1,9,64,7
64.38,I,9,0,1,9,64,7
64.62,I,9,0,1,9,64,7
64.75,I,9,0,1,9,66,9
65.0,IV64,2,5,4,9,66,9
65.88,IV64,2,5,4,9,57,0
66.0,I,9,0,1,9,57,0
66.0,I,9,0,1,9,61,4
66.25,I,9,0,1,9,64,7
66.38,I,9,0,1,9,64,7
66.62,I,9,0,1,9,61,4
66.75,I,9,0,1,9,66,9
67.0,IV64,2,5,4,9,66,9
67.75,IV64,2,5,4,9,57,0
67.88,IV64,2,5,4,9,57,0
68.0,IV64,2,5,4,9,61,4
68.0,I,9,0,1,9,61,4
68.25,I,9,0,1,9,64,7
68.5,I,9,0,1,9,64,7
68.75,I,9,0,1,9,64,7
68.88,I,9,0,1,9,66,9
69.0,IV64,2,5,4,9,66,9
69.12,IV64,2,5,4,9,66,9
69.25,IV64,2,5,4,9,64,7
69.62,IV64,2,5,4,9,64,7
69.88,IV64,2,5,4,9,64,7
70.0,V,4,7,5,9,64,7
70.0,V,4,7,5,9,59,2
71.0,bIII,0,3,3,9,59,2
71.5,bVII,7,10,7,9,59,2
71.75,bVII,7,10,7,9,57,0
71.88,bVII,7,10,7,9,57,0
72.0,I,9,0,1,9,57,0
72.0,I,9,0,1,9,61,4
72.25,I,9,0,1,9,64,7
72.5,I,9,0,1,9,64,7
72.75,I,9,0,1,9,64,7
72.88,I,9,0,1,9,66,9
73.0,IV64,2,5,4,9,66,9
73.75,IV64,2,5,4,9,64,7
74.0,IV64,2,5,4,9,61,4
74.0,I,9,0,1,9,61,4
74.25,I,9,0,1,9,64,7
74.38,I,9,0,1,9,64,7
74.62,I,9,0,1,9,64,7
74.88,I,9,0,1,9,64,7
75.0,I,9,0,1,9,66,9
75.0,IV64,2,5,4,9,66,9
75.75,IV64,2,5,4,9,57,0
75.88,IV64,2,5,4,9,57,0
76.0,IV64,2,5,4,9,61,4
76.0,I,9,0,1,9,61,4
76.25,I,9,0,1,9,64,7
76.5,I,9,0,1,9,64,7
76.62,I,9,0,1,9,64,7
76.88,I,9,0,1,9,66,9
77.0,IV64,2,5,4,9,66,9
77.38,IV64,2,5,4,9,64,7
77.62,IV64,2,5,4,9,61,4
77.75,IV64,2,5,4,9,64,7
78.0,IV64,2,5,4,9,59,2
78.0,V,4,7,5,9,59,2
79.0,bIII,0,3,3,9,59,2
79.5,bVII,7,10,7,9,59,2
79.88,bVII,7,10,7,9,57,0
80.0,IV,2,5,4,9,57,0
80.0,IV,2,5,4,9,54,9
80.25,IV,2,5,4,9,57,0
80.5,I,9,0,1,9,57,0
80.5,I,9,0,1,9,61,4
80.75,I,9,0,1,9,59,2
80.88,I,9,0,1,9,57,0
81.0,IV,2,5,4,9,57,0
81.0,IV,2,5,4,9,57,0
81.25,IV,2,5,4,9,59,2
81.38,IV,2,5,4,9,57,0
81.5,I,9,0,1,9,57,0
81.5,I,9,0,1,9,61,4
81.75,I,9,0,1,9,57,0
82.0,IV,2,5,4,9,57,0
82.0,IV,2,5,4,9,54,9
82.12,IV,2,5,4,9,57,0
82.38,IV,2,5,4,9,59,2
82.5,IV,2,5,4,9,61,4
82.5,I,9,0,1,9,61,4
82.75,I,9,0,1,9,59,2
82.88,I,9,0,1,9,57,0
83.0,I,9,0,1,9,59,2
83.0,IV,2,5,4,9,59,2
83.12,IV,2,5,4,9,57,0
83.25,IV,2,5,4,9,57,0
83.38,IV,2,5,4,9,59,2
83.5,IV,2,5,4,9,61,4
83.5,I,9,0,1,9,61,4
83.75,I,9,0,1,9,57,0
84.0,I,9,0,1,9,54,9
84.0,IV,2,5,4,9,54,9
84.12,IV,2,5,4,9,57,0
84.38,IV,2,5,4,9,61,4
84.5,I,9,0,1,9,61,4
84.88,I,9,0,1,9,57,0
85.0,I,9,0,1,9,59,2
85.0,IV,2,5,4,9,59,2
85.12,IV,2,5,4,9,57,0
85.25,IV,2,5,4,9,57,0
85.38,IV,2,5,4,9,59,2
85.5,IV,2,5,4,9,61,4
85.5,I,9,0,1,9,61,4
86.0,bVII,7,10,7,9,61,4
86.0,bVII,7,10,7,9,62,5
86.12,bVII,7,10,7,9,61,4
86.25,bVII,7,10,7,9,62,5
86.38,bVII,7,10,7,9,61,4
86.5,bVII,7,10,7,9,62,5
86.75,bVII,7,10,7,9,62,5
86.88,bVII,7,10,7,9,61,4
87.0,bVII,7,10,7,9,59,2
87.0,V,4,7,5,9,59,2
88.0,V,4,7,5,9,62,5
88.0,bVII,7,10,7,9,62,5
88.25,bVII,7,10,7,9,62,5
88.5,bVII,7,10,7,9,62,5
88.75,bVII,7,10,7,9,64,7
88.88,bVII,7,10,7,9,61,4
89.0,bVII,7,10,7,9,59,2
89.0,V,4,7,5,9,59,2
89.75,V,4,7,5,9,59,2
89.88,V,4,7,5,9,61,4
90.0,bVII,7,10,7,9,61,4
90.0,bVII,7,10,7,9,62,5
90.12,bVII,7,10,7,9,62,5
90.38,bVII,7,10,7,9,62,5
90.5,bVII,7,10,7,9,64,7
90.75,bVII,7,10,7,9,54,9
91.0,IV,2,5,4,9,54,9
91.0,IV,2,5,4,9,57,0
93.88,IV,2,5,4,9,62,5
94.0,IV,2,5,4,9,62,5
94.25,IV,2,5,4,9,62,5
94.38,IV,2,5,4,9,62,5
94.62,IV,2,5,4,9,61,4
94.75,IV,2,5,4,9,64,7
95.0,IV,2,5,4,9,57,0
95.0,I,9,0,1,9,57,0
95.88,I,9,0,1,9,66,9
