Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
2.0,I,5,0,1,5,55,2
2.12,I,5,0,1,5,53,0
2.19,I,5,0,1,5,53,0
3.0,ii7/vi,4,11,7,5,53,0
3.25,ii7/vi,4,11,7,5,57,4
3.38,ii7/vi,4,11,7,5,59,6
3.5,V7/vi,9,4,3,5,59,6
3.5,V7/vi,9,4,3,5,61,8
3.56,V7/vi,9,4,3,5,62,9
3.75,V7/vi,9,4,3,5,64,11
3.88,V7/vi,9,4,3,5,65,0
4.0,vi,2,9,6,5,65,0
4.0,vi,2,9,6,5,64,11
4.38,vi,2,9,6,5,62,9
4.44,vi,2,9,6,5,62,9
5.0,IV7,10,5,4,5,62,9
5.25,IV7,10,5,4,5,62,9
5.38,IV7,10,5,4,5,62,9
5.44,IV7,10,5,4,5,60,7
5.5,V7,0,7,5,5,60,7
5.62,V7,0,7,5,5,58,5
5.69,V7,0,7,5,5,57,4
5.75,V7,0,7,5,5,55,2
5.88,V7,0,7,5,5,55,2
6.0,I,5,0,1,5,55,2
6.0,I,5,0,1,5,58,5
6.25,I,5,0,1,5,57,4
6.38,I,5,0,1,5,57,4
6.81,I,5,0,1,5,55,2
7.0,I,5,0,1,5,53,0
7.0,vi7,2,9,6,5,53,0
7.25,vi7,2,9,6,5,57,4
7.38,vi7,2,9,6,5,55,2
7.5,II,7,2,2,5,55,2
7.88,II,7,2,2,5,50,9
8.0,IV,10,5,4,5,50,9
8.0,IV,10,5,4,5,53,0
8.25,I,5,0,1,5,53,0
8.25,I,5,0,1,5,57,4
8.38,I,5,0,1,5,57,4
9.0,I,5,0,1,5,55,2
9.06,I,5,0,1,5,53,0
9.19,I,5,0,1,5,53,0
10.0,ii7/vi,4,11,7,5,53,0
10.25,ii7/vi,4,11,7,5,57,4
10.38,ii7/vi,4,11,7,5,59,6
10.5,ii7/vi,4,11,7,5,61,8
10.5,V7/vi,9,4,3,5,61,8
10.62,V7/vi,9,4,3,5,62,9
10.69,V7/vi,9,4,3,5,64,11
10.88,V7/vi,9,4,3,5,65,0
11.0,V7/vi,9,4,3,5,64,11
11.0,vi,2,9,6,5,64,11
11.19,vi,2,9,6,5,62,9
11.25,vi,2,9,6,5,62,9
12.0,IV7,10,5,4,5,62,9
12.25,IV7,10,5,4,5,62,9
12.31,IV7,10,5,4,5,62,9
12.44,IV7,10,5,4,5,60,7
12.5,IV7,10,5,4,5,58,5
12.5,V7,0,7,5,5,58,5
12.75,V7,0,7,5,5,57,4
12.88,V7,0,7,5,5,55,2
12.94,V7,0,7,5,5,58,5
13.0,I,5,0,1,5,58,5
13.25,I,5,0,1,5,57,4
13.38,I,5,0,1,5,57,4
13.88,I,5,0,1,5,55,2
14.0,vi7,2,9,6,5,55,2
14.0,vi7,2,9,6,5,53,0
14.25,vi7,2,9,6,5,57,4
14.38,vi7,2,9,6,5,55,2
14.5,II,7,2,2,5,55,2
14.88,II,7,2,2,5,50,9
15.0,IV,10,5,4,5,50,9
15.0,IV,10,5,4,5,53,0
15.25,IV,10,5,4,5,57,4
15.25,I,5,0,1,5,57,4
15.38,I,5,0,1,5,57,4
16.0,Vs4/vi,9,4,3,5,57,4
16.0,Vs4/vi,9,4,3,5,57,4
16.5,Vs4/vi,9,4,3,5,57,4
17.0,vi,2,9,6,5,57,4
17.0,vi,2,9,6,5,62,9
17.25,vi,2,9,6,5,64,11
17.5,IV,10,5,4,5,64,11
17.5,IV,10,5,4,5,65,0
17.75,IV,10,5,4,5,64,11
17.88,IV,10,5,4,5,62,9
18.0,ii,7,2,2,5,62,9
18.12,ii,7,2,2,5,64,11
18.38,ii,7,2,2,5,62,9
18.5,ii,7,2,2,5,60,7
18.5,V7,0,7,5,5,60,7
18.75,V7,0,7,5,5,62,9
18.88,V7,0,7,5,5,57,4
19.0,I,5,0,1,5,57,4
20.0,I,5,0,1,5,57,4
20.0,Vs4/vi,9,4,3,5,57,4
20.5,Vs4/vi,9,4,3,5,57,4
21.0,Vs4/vi,9,4,3,5,62,9
21.0,vi,2,9,6,5,62,9
21.25,vi,2,9,6,5,64,11
21.5,IV,10,5,4,5,64,11
21.5,IV,10,5,4,5,65,0
21.75,IV,10,5,4,5,64,11
21.88,IV,10,5,4,5,62,9
22.0,ii,7,2,2,5,62,9
22.06,ii,7,2,2,5,64,11
22.38,ii,7,2,2,5,62,9
22.5,V7,0,7,5,5,62,9
22.5,V7,0,7,5,5,60,7
22.75,V7,0,7,5,5,64,11
23.0,V7,0,7,5,5,65,0
23.0,I,5,0,1,5,65,0
24.0,I,5,0,1,5,57,4
24.12,I,5,0,1,5,53,0
24.19,I,5,0,1,5,53,0
25.0,ii7/vi,4,11,7,5,53,0
25.25,ii7/vi,4,11,7,5,57,4
25.38,ii7/vi,4,11,7,5,59,6
25.5,ii7/vi,4,11,7,5,61,8
25.5,V7/vi,9,4,3,5,61,8
25.62,V7/vi,9,4,3,5,62,9
25.69,V7/vi,9,4,3,5,64,11
25.88,V7/vi,9,4,3,5,65,0
26.0,V7/vi,9,4,3,5,64,11
26.0,vi,2,9,6,5,64,11
26.31,vi,2,9,6,5,62,9
26.5,vi,2,9,6,5,62,9
27.0,IV7,10,5,4,5,62,9
27.25,IV7,10,5,4,5,62,9
27.31,IV7,10,5,4,5,62,9
27.44,IV7,10,5,4,5,60,7
27.5,V7,0,7,5,5,60,7
27.62,V7,0,7,5,5,58,5
27.69,V7,0,7,5,5,57,4
27.75,V7,0,7,5,5,55,2
27.88,V7,0,7,5,5,55,2
28.0,V7,0,7,5,5,58,5
28.0,I,5,0,1,5,58,5
28.25,I,5,0,1,5,57,4
28.38,I,5,0,1,5,57,4
28.75,I,5,0,1,5,55,2
28.88,I,5,0,1,5,53,0
29.0,vi7,2,9,6,5,53,0
29.0,vi7,2,9,6,5,53,0
29.25,vi7,2,9,6,5,57,4
29.44,vi7,2,9,6,5,55,2
29.5,II,7,2,2,5,55,2
29.88,II,7,2,2,5,50,9
30.0,IV,10,5,4,5,50,9
30.0,IV,10,5,4,5,53,0
30.25,IV,10,5,4,5,57,4
30.25,I,5,0,1,5,57,4
30.38,I,5,0,1,5,57,4
31.0,I,5,0,1,5,57,4
31.0,Vs4/vi,9,4,3,5,57,4
31.5,Vs4/vi,9,4,3,5,57,4
32.0,Vs4/vi,9,4,3,5,62,9
32.0,vi,2,9,6,5,62,9
32.25,vi,2,9,6,5,64,11
32.5,vi,2,9,6,5,65,0
32.5,IV,10,5,4,5,65,0
32.75,IV,10,5,4,5,64,11
32.88,IV,10,5,4,5,62,9
33.0,ii,7,2,2,5,62,9
33.12,ii,7,2,2,5,64,11
33.38,ii,7,2,2,5,62,9
33.5,ii,7,2,2,5,60,7
33.5,V7,0,7,5,5,60,7
33.75,V7,0,7,5,5,62,9
33.88,V7,0,7,5,5,57,4
34.0,I,5,0,1,5,57,4
35.0,I,5,0,1,5,57,4
35.0,Vs4/vi,9,4,3,5,57,4
35.5,Vs4/vi,9,4,3,5,57,4
36.0,Vs4/vi,9,4,3,5,62,9
36.0,vi,2,9,6,5,62,9
36.25,vi,2,9,6,5,64,11
36.5,vi,2,9,6,5,65,0
36.5,IV,10,5,4,5,65,0
36.75,IV,10,5,4,5,64,11
36.88,IV,10,5,4,5,62,9
37.0,IV,10,5,4,5,64,11
37.0,ii,7,2,2,5,64,11
37.38,ii,7,2,2,5,62,9
37.44,ii,7,2,2,5,60,7
37.5,V7,0,7,5,5,60,7
37.5,V7,0,7,5,5,60,7
37.75,V7,0,7,5,5,64,11
38.0,I,5,0,1,5,64,11
38.0,I,5,0,1,5,65,0
38.25,I,5,0,1,5,60,7
38.5,I,5,0,1,5,58,5
38.75,I,5,0,1,5,57,4
39.0,I,5,0,1,5,55,2
39.12,I,5,0,1,5,53,0
39.19,I,5,0,1,5,53,0
40.0,ii7/vi,4,11,7,5,53,0
40.25,ii7/vi,4,11,7,5,57,4
40.38,ii7/vi,4,11,7,5,59,6
40.5,ii7/vi,4,11,7,5,61,8
40.5,V7/vi,9,4,3,5,61,8
40.62,V7/vi,9,4,3,5,62,9
40.69,V7/vi,9,4,3,5,64,11
40.88,V7/vi,9,4,3,5,65,0
41.0,V7/vi,9,4,3,5,64,11
41.0,vi,2,9,6,5,64,11
41.25,vi,2,9,6,5,62,9
41.38,vi,2,9,6,5,62,9
42.0,IV7,10,5,4,5,62,9
42.25,IV7,10,5,4,5,62,9
42.31,IV7,10,5,4,5,62,9
42.44,IV7,10,5,4,5,60,7
42.5,V7,0,7,5,5,60,7
42.62,V7,0,7,5,5,58,5
42.69,V7,0,7,5,5,57,4
42.75,V7,0,7,5,5,55,2
42.88,V7,0,7,5,5,55,2
43.0,I,5,0,1,5,55,2
43.0,I,5,0,1,5,58,5
43.25,I,5,0,1,5,57,4
43.38,I,5,0,1,5,57,4
43.5,I,5,0,1,5,55,2
43.88,I,5,0,1,5,55,2
44.0,I,5,0,1,5,53,0
44.0,vi7,2,9,6,5,53,0
44.25,vi7,2,9,6,5,57,4
44.38,vi7,2,9,6,5,55,2
44.5,II,7,2,2,5,55,2
44.88,II,7,2,2,5,50,9
45.0,II,7,2,2,5,53,0
45.0,IV,10,5,4,5,53,0
45.25,IV,10,5,4,5,57,4
45.25,I,5,0,1,5,57,4
45.38,I,5,0,1,5,57,4
46.0,I,5,0,1,5,53,0
46.25,I,5,0,1,5,57,4
46.5,I,5,0,1,5,55,2
46.5,II6,7,2,2,5,55,2
46.75,II6,7,2,2,5,50,9
47.0,II6,7,2,2,5,53,0
47.0,IV,10,5,4,5,53,0
47.25,I,5,0,1,5,53,0
47.25,I,5,0,1,5,57,4
47.38,I,5,0,1,5,57,4
48.0,End,5,0,1,5,57,4
