Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,0,0,1,0,72,0
1.0,I,0,0,1,0,76,4
1.25,I,0,0,1,0,76,4
1.44,I,0,0,1,0,74,2
1.5,I,0,0,1,0,76,4
1.62,I,0,0,1,0,76,4
1.75,I,0,0,1,0,74,2
1.88,I,0,0,1,0,72,0
2.0,I,0,0,1,0,77,5
2.0,IV,5,5,4,0,77,5
2.12,IV,5,5,4,0,69,9
3.0,I,0,0,1,0,69,9
3.12,I,0,0,1,0,72,0
3.25,I,0,0,1,0,76,4
3.38,I,0,0,1,0,76,4
3.5,I,0,0,1,0,76,4
3.56,I,0,0,1,0,74,2
3.62,I,0,0,1,0,72,0
3.88,I,0,0,1,0,72,0
3.94,I,0,0,1,0,72,0
4.0,I,0,0,1,0,77,5
4.0,IV,5,5,4,0,77,5
4.12,IV,5,5,4,0,69,9
4.88,IV,5,5,4,0,72,0
5.0,I,0,0,1,0,72,0
5.0,I,0,0,1,0,76,4
5.25,I,0,0,1,0,76,4
5.38,I,0,0,1,0,74,2
5.5,I,0,0,1,0,76,4
5.75,I,0,0,1,0,74,2
5.88,I,0,0,1,0,72,0
6.0,IV,5,5,4,0,72,0
6.0,IV,5,5,4,0,77,5
6.12,IV,5,5,4,0,69,9
6.75,IV,5,5,4,0,72,0
6.88,IV,5,5,4,0,72,0
7.0,I,0,0,1,0,72,0
7.0,I,0,0,1,0,76,4
7.25,I,0,0,1,0,76,4
7.38,I,0,0,1,0,74,2
7.75,I,0,0,1,0,74,2
7.88,I,0,0,1,0,72,0
8.0,I,0,0,1,0,77,5
8.0,IV,5,5,4,0,77,5
8.12,IV,5,5,4,0,69,9
8.75,IV,5,5,4,0,72,0
8.88,IV,5,5,4,0,72,0
9.0,IV,5,5,4,0,76,4
9.0,I,0,0,1,0,76,4
9.25,I,0,0,1,0,76,4
9.38,I,0,0,1,0,74,2
9.5,I,0,0,1,0,76,4
9.75,I,0,0,1,0,74,2
9.88,I,0,0,1,0,72,0
10.0,IV,5,5,4,0,72,0
10.0,IV,5,5,4,0,77,5
10.12,IV,5,5,4,0,69,9
10.88,IV,5,5,4,0,72,0
11.0,IV,5,5,4,0,76,4
11.0,I,0,0,1,0,76,4
11.25,I,0,0,1,0,76,4
11.38,I,0,0,1,0,74,2
11.5,I,0,0,1,0,76,4
11.75,I,0,0,1,0,74,2
11.88,I,0,0,1,0,72,0
12.0,I,0,0,1,0,77,5
12.0,IV,5,5,4,0,77,5
12.12,IV,5,5,4,0,69,9
12.88,IV,5,5,4,0,72,0
13.0,IV,5,5,4,0,76,4
13.0,I,0,0,1,0,76,4
13.25,I,0,0,1,0,76,4
13.38,I,0,0,1,0,74,2
13.5,I,0,0,1,0,76,4
13.75,I,0,0,1,0,74,2
13.88,I,0,0,1,0,72,0
14.0,I,0,0,1,0,77,5
14.0,IV,5,5,4,0,77,5
14.12,IV,5,5,4,0,69,9
14.81,IV,5,5,4,0,72,0
14.88,IV,5,5,4,0,72,0
14.94,IV,5,5,4,0,72,0
15.0,II,2,2,2,0,72,0
15.0,II,2,2,2,0,76,4
15.12,II,2,2,2,0,74,2
15.25,II,2,2,2,0,69,9
15.88,II,2,2,2,0,69,9
16.0,II,2,2,2,0,72,0
16.0,IV,5,5,4,0,72,0
16.69,IV,5,5,4,0,72,0
16.75,IV,5,5,4,0,77,5
16.81,IV,5,5,4,0,77,5
16.94,IV,5,5,4,0,77,5
17.0,IV,5,5,4,0,76,4
17.0,I,0,0,1,0,76,4
19.0,IV,5,5,4,0,76,4
20.0,I,0,0,1,0,76,4
21.0,IV,5,5,4,0,76,4
22.0,I,0,0,1,0,76,4
23.0,IV,5,5,4,0,76,4
24.0,I,0,0,1,0,76,4
25.0,IV,5,5,4,0,76,4
25.88,IV,5,5,4,0,60,0
26.0,IV,5,5,4,0,64,4
26.0,I,0,0,1,0,64,4
26.25,I,0,0,1,0,64,4
26.38,I,0,0,1,0,60,0
26.44,I,0,0,1,0,64,4
26.62,I,0,0,1,0,62,2
26.75,I,0,0,1,0,62,2
26.81,I,0,0,1,0,60,0
26.88,I,0,0,1,0,64,4
27.0,IV,5,5,4,0,64,4
27.12,IV,5,5,4,0,57,9
28.0,I,0,0,1,0,57,9
28.12,I,0,0,1,0,60,0
28.19,I,0,0,1,0,64,4
28.38,I,0,0,1,0,64,4
28.44,I,0,0,1,0,64,4
28.56,I,0,0,1,0,60,0
28.75,I,0,0,1,0,62,2
28.81,I,0,0,1,0,60,0
28.88,I,0,0,1,0,62,2
29.0,IV,5,5,4,0,62,2
29.0,IV,5,5,4,0,57,9
29.81,IV,5,5,4,0,60,0
29.94,IV,5,5,4,0,64,4
30.0,I,0,0,1,0,64,4
30.19,I,0,0,1,0,64,4
30.25,I,0,0,1,0,62,2
30.31,I,0,0,1,0,64,4
30.44,I,0,0,1,0,62,2
30.5,I,0,0,1,0,64,4
