Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,8,0,1,8,56,0
4.62,I,8,0,1,8,56,0
4.75,I,8,0,1,8,60,4
4.88,I,8,0,1,8,61,5
5.0,I,8,0,1,8,60,4
5.12,I,8,0,1,8,56,0
5.25,I,8,0,1,8,54,10
5.38,I,8,0,1,8,56,0
5.62,I,8,0,1,8,56,0
5.75,I,8,0,1,8,60,4
5.88,I,8,0,1,8,61,5
6.0,I,8,0,1,8,62,6
6.12,I,8,0,1,8,61,5
6.25,I,8,0,1,8,59,3
6.38,I,8,0,1,8,56,0
6.5,I,8,0,1,8,60,4
6.62,I,8,0,1,8,56,0
6.75,I,8,0,1,8,54,10
6.88,I,8,0,1,8,56,0
7.06,I,8,0,1,8,56,0
8.0,I,8,0,1,8,56,0
8.06,I,8,0,1,8,54,10
8.12,I,8,0,1,8,56,0
8.62,I,8,0,1,8,56,0
8.75,I,8,0,1,8,59,3
8.88,I,8,0,1,8,56,0
9.0,I,8,0,1,8,59,3
9.12,I,8,0,1,8,56,0
9.25,I,8,0,1,8,54,10
9.62,I,8,0,1,8,56,0
9.75,I,8,0,1,8,60,4
9.88,I,8,0,1,8,61,5
10.0,I,8,0,1,8,63,7
10.12,I,8,0,1,8,61,5
10.25,I,8,0,1,8,59,3
10.38,I,8,0,1,8,56,0
10.5,I,8,0,1,8,59,3
10.62,I,8,0,1,8,56,0
10.69,I,8,0,1,8,54,10
10.75,I,8,0,1,8,56,0
12.0,I,8,0,1,8,58,2
12.0,V/V,10,2,2,8,58,2
12.62,V/V,10,2,2,8,58,2
12.75,V/V,10,2,2,8,62,6
12.88,V/V,10,2,2,8,63,7
13.0,V/V,10,2,2,8,62,6
13.12,V/V,10,2,2,8,58,2
13.25,V/V,10,2,2,8,56,0
13.62,V/V,10,2,2,8,58,2
13.75,V/V,10,2,2,8,62,6
13.88,V/V,10,2,2,8,63,7
14.0,V/V,10,2,2,8,64,8
14.12,V/V,10,2,2,8,63,7
14.25,V/V,10,2,2,8,61,5
14.38,V/V,10,2,2,8,58,2
14.5,V/V,10,2,2,8,62,6
14.62,V/V,10,2,2,8,58,2
14.75,V/V,10,2,2,8,56,0
14.88,V/V,10,2,2,8,58,2
15.12,V/V,10,2,2,8,58,2
15.56,V/V,10,2,2,8,58,2
16.0,V,3,7,5,8,58,2
16.0,V,3,7,5,8,63,7
16.62,V,3,7,5,8,63,7
16.75,V,3,7,5,8,66,10
16.88,V,3,7,5,8,63,7
17.0,V,3,7,5,8,66,10
17.12,V,3,7,5,8,63,7
17.25,V,3,7,5,8,61,5
17.62,V,3,7,5,8,63,7
17.75,V,3,7,5,8,66,10
17.88,V,3,7,5,8,63,7
18.0,V,3,7,5,8,66,10
18.12,V,3,7,5,8,63,7
18.25,V,3,7,5,8,66,10
18.38,V,3,7,5,8,63,7
18.5,V,3,7,5,8,66,10
18.62,V,3,7,5,8,63,7
18.88,V,3,7,5,8,61,5
19.0,V,3,7,5,8,63,7
19.12,V,3,7,5,8,63,7
19.25,V,3,7,5,8,61,5
19.38,V,3,7,5,8,63,7
19.88,V,3,7,5,8,61,5
20.0,V,3,7,5,8,63,7
20.12,V,3,7,5,8,63,7
20.25,V,3,7,5,8,61,5
20.38,V,3,7,5,8,63,7
20.88,V,3,7,5,8,61,5
21.0,V,3,7,5,8,63,7
