Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,7,0,1,7,64,9
1.33,I,7,0,1,7,62,7
1.42,I,7,0,1,7,64,9
1.5,I,7,0,1,7,62,7
1.5,vi,4,9,6,7,62,7
2.0,vi,4,9,6,7,59,4
2.0,ii7,9,2,2,7,59,4
2.17,ii7,9,2,2,7,57,2
2.5,V7,2,7,5,7,57,2
2.83,V7,2,7,5,7,59,4
2.92,V7,2,7,5,7,62,7
3.0,V7,2,7,5,7,59,4
3.0,I,7,0,1,7,59,4
3.17,I,7,0,1,7,64,9
3.5,I,7,0,1,7,62,7
3.5,vi,4,9,6,7,62,7
3.58,vi,4,9,6,7,64,9
3.67,vi,4,9,6,7,62,7
4.0,ii7,9,2,2,7,62,7
4.08,ii7,9,2,2,7,59,4
4.25,ii7,9,2,2,7,57,2
4.5,V7,2,7,5,7,57,2
4.92,V7,2,7,5,7,59,4
5.0,V7,2,7,5,7,62,7
5.0,I,7,0,1,7,62,7
5.17,I,7,0,1,7,64,9
5.42,I,7,0,1,7,62,7
5.5,I,7,0,1,7,64,9
5.5,vi,4,9,6,7,64,9
5.58,vi,4,9,6,7,62,7
6.0,ii7,9,2,2,7,62,7
6.08,ii7,9,2,2,7,59,4
6.25,ii7,9,2,2,7,57,2
6.5,V7,2,7,5,7,57,2
6.75,V7,2,7,5,7,57,2
6.83,V7,2,7,5,7,55,0
6.92,V7,2,7,5,7,52,9
7.0,I,7,0,1,7,52,9
7.08,I,7,0,1,7,55,0
7.25,I,7,0,1,7,55,0
7.33,I,7,0,1,7,57,2
7.42,I,7,0,1,7,59,4
7.5,I,7,0,1,7,52,9
7.5,vi,4,9,6,7,52,9
7.75,vi,4,9,6,7,55,0
7.83,vi,4,9,6,7,57,2
7.92,vi,4,9,6,7,59,4
8.0,ii7,9,2,2,7,59,4
8.0,ii7,9,2,2,7,57,2
8.25,ii7,9,2,2,7,67,0
8.42,ii7,9,2,2,7,66,11
8.5,ii7,9,2,2,7,64,9
8.5,V7,2,7,5,7,64,9
8.58,V7,2,7,5,7,67,0
8.67,V7,2,7,5,7,66,11
8.75,V7,2,7,5,7,64,9
9.0,I,7,0,1,7,64,9
9.17,I,7,0,1,7,64,9
9.33,I,7,0,1,7,62,7
9.42,I,7,0,1,7,64,9
9.5,vi,4,9,6,7,64,9
9.5,vi,4,9,6,7,62,7
10.0,ii7,9,2,2,7,62,7
10.08,ii7,9,2,2,7,59,4
10.25,ii7,9,2,2,7,57,2
10.5,V7,2,7,5,7,57,2
10.75,V7,2,7,5,7,59,4
10.83,V7,2,7,5,7,62,7
10.92,V7,2,7,5,7,59,4
11.0,V7,2,7,5,7,64,9
11.0,I,7,0,1,7,64,9
11.33,I,7,0,1,7,62,7
11.5,I,7,0,1,7,64,9
11.5,vi,4,9,6,7,64,9
11.67,vi,4,9,6,7,62,7
12.0,vi,4,9,6,7,59,4
12.0,ii7,9,2,2,7,59,4
12.17,ii7,9,2,2,7,57,2
12.5,V7,2,7,5,7,57,2
12.75,V7,2,7,5,7,59,4
12.83,V7,2,7,5,7,62,7
12.92,V7,2,7,5,7,59,4
13.0,I,7,0,1,7,59,4
13.0,I,7,0,1,7,64,9
13.42,I,7,0,1,7,62,7
13.5,vi,4,9,6,7,62,7
13.58,vi,4,9,6,7,64,9
13.75,vi,4,9,6,7,62,7
14.0,ii7,9,2,2,7,62,7
14.08,ii7,9,2,2,7,59,4
14.25,ii7,9,2,2,7,57,2
14.5,V7,2,7,5,7,57,2
14.75,V7,2,7,5,7,57,2
14.83,V7,2,7,5,7,55,0
15.0,I,7,0,1,7,55,0
15.08,I,7,0,1,7,52,9
15.17,I,7,0,1,7,55,0
15.5,IV,0,5,4,7,55,0
16.0,I,7,0,1,7,55,0
16.75,I,7,0,1,7,55,0
17.0,ii,9,2,2,7,55,0
17.0,ii,9,2,2,7,57,2
17.25,ii,9,2,2,7,57,2
17.33,ii,9,2,2,7,57,2
17.42,ii,9,2,2,7,59,4
17.5,V,2,7,5,7,59,4
17.5,V,2,7,5,7,55,0
17.58,V,2,7,5,7,57,2
18.0,V,2,7,5,7,55,0
18.0,I,7,0,1,7,55,0
18.08,I,7,0,1,7,57,2
18.17,I,7,0,1,7,59,4
18.33,I,7,0,1,7,55,0
18.92,I,7,0,1,7,50,7
19.0,ii,9,2,2,7,50,7
19.0,ii,9,2,2,7,57,2
19.42,ii,9,2,2,7,57,2
19.5,ii,9,2,2,7,57,2
19.5,V,2,7,5,7,57,2
19.67,V,2,7,5,7,55,0
19.83,V,2,7,5,7,64,9
20.0,I,7,0,1,7,64,9
20.17,I,7,0,1,7,62,7
20.33,I,7,0,1,7,64,9
20.42,I,7,0,1,7,59,4
21.0,ii,9,2,2,7,59,4
21.25,ii,9,2,2,7,57,2
21.33,ii,9,2,2,7,57,2
21.5,V,2,7,5,7,57,2
21.5,V,2,7,5,7,57,2
21.75,V,2,7,5,7,55,0
21.92,V,2,7,5,7,57,2
22.0,I,7,0,1,7,57,2
22.17,I,7,0,1,7,59,4
22.33,I,7,0,1,7,55,0
22.5,V7/II,4,9,6,7,55,0
22.92,V7/II,4,9,6,7,52,9
23.0,V7/V,9,2,2,7,52,9
23.0,V7/V,9,2,2,7,59,4
23.17,V7/V,9,2,2,7,57,2
23.25,V7/V,9,2,2,7,55,0
23.5,V7/V,9,2,2,7,55,0
23.67,V7/V,9,2,2,7,57,2
23.83,V7/V,9,2,2,7,59,4
24.0,V7/V,9,2,2,7,59,4
24.08,V7/V,9,2,2,7,57,2
24.25,V7/V,9,2,2,7,67,0
24.42,V7/V,9,2,2,7,66,11
24.5,V7/V,9,2,2,7,64,9
24.5,V7,2,7,5,7,64,9
24.58,V7,2,7,5,7,67,0
24.67,V7,2,7,5,7,66,11
24.75,V7,2,7,5,7,64,9
25.0,I,7,0,1,7,64,9
25.17,I,7,0,1,7,64,9
25.42,I,7,0,1,7,62,7
25.5,vi,4,9,6,7,62,7
25.58,vi,4,9,6,7,64,9
25.75,vi,4,9,6,7,62,7
26.0,ii7,9,2,2,7,62,7
26.08,ii7,9,2,2,7,59,4
26.25,ii7,9,2,2,7,57,2
26.5,V7,2,7,5,7,57,2
26.75,V7,2,7,5,7,59,4
26.83,V7,2,7,5,7,62,7
26.92,V7,2,7,5,7,59,4
27.0,V7,2,7,5,7,64,9
27.0,I,7,0,1,7,64,9
27.33,I,7,0,1,7,62,7
27.5,I,7,0,1,7,64,9
27.5,vi,4,9,6,7,64,9
27.58,vi,4,9,6,7,62,7
28.0,ii7,9,2,2,7,62,7
28.0,ii7,9,2,2,7,59,4
28.17,ii7,9,2,2,7,57,2
28.5,V7,2,7,5,7,57,2
28.67,V7,2,7,5,7,67,0
28.75,V7,2,7,5,7,66,11
28.83,V7,2,7,5,7,64,9
28.92,V7,2,7,5,7,59,4
29.0,I,7,0,1,7,59,4
29.17,I,7,0,1,7,64,9
29.42,I,7,0,1,7,62,7
29.5,vi,4,9,6,7,62,7
29.5,vi,4,9,6,7,64,9
29.58,vi,4,9,6,7,62,7
30.0,ii7,9,2,2,7,62,7
30.08,ii7,9,2,2,7,59,4
30.25,ii7,9,2,2,7,57,2
30.5,V7,2,7,5,7,57,2
30.75,V7,2,7,5,7,57,2
30.83,V7,2,7,5,7,55,0
31.0,V7,2,7,5,7,52,9
31.0,I,7,0,1,7,52,9
31.08,I,7,0,1,7,55,0
31.33,I,7,0,1,7,57,2
31.42,I,7,0,1,7,55,0
31.5,vi,4,9,6,7,55,0
32.0,ii7,9,2,2,7,55,0
32.5,V7,2,7,5,7,55,0
33.0,I,7,0,1,7,55,0
33.5,vi,4,9,6,7,55,0
34.0,ii7,9,2,2,7,55,0
34.0,ii7,9,2,2,7,67,0
34.17,ii7,9,2,2,7,66,11
34.25,ii7,9,2,2,7,64,9
34.42,ii7,9,2,2,7,59,4
34.5,V7,2,7,5,7,59,4
34.5,V7,2,7,5,7,62,7
34.58,V7,2,7,5,7,64,9
34.67,V7,2,7,5,7,66,11
34.75,V7,2,7,5,7,64,9
34.92,V7,2,7,5,7,62,7
35.0,I,7,0,1,7,62,7
35.5,vi,4,9,6,7,62,7
35.75,vi,4,9,6,7,67,0
35.92,vi,4,9,6,7,66,11
36.0,ii7,9,2,2,7,66,11
36.08,ii7,9,2,2,7,66,11
36.25,ii7,9,2,2,7,64,9
36.42,ii7,9,2,2,7,59,4
36.5,V7,2,7,5,7,59,4
36.5,V7,2,7,5,7,62,7
36.58,V7,2,7,5,7,59,4
36.67,V7,2,7,5,7,62,7
36.92,V7,2,7,5,7,66,11
37.0,I,7,0,1,7,66,11
37.08,I,7,0,1,7,64,9
