Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,Id9,1,0,1,1,54,5
1.0,Id9,1,0,1,1,53,4
1.12,Id9,1,0,1,1,49,0
1.38,Id9,1,0,1,1,47,10
1.75,Id9,1,0,1,1,49,0
1.88,Id9,1,0,1,1,54,5
2.0,Id9,1,0,1,1,53,4
2.25,Id9,1,0,1,1,49,0
2.38,Id9,1,0,1,1,49,0
2.5,Id9,1,0,1,1,47,10
2.88,Id9,1,0,1,1,54,5
3.0,Id9,1,0,1,1,56,7
3.12,Id9,1,0,1,1,51,2
3.19,Id9,1,0,1,1,53,4
4.62,Id9,1,0,1,1,44,7
4.75,Id9,1,0,1,1,49,0
4.88,Id9,1,0,1,1,56,7
5.12,Id9,1,0,1,1,54,5
5.25,Id9,1,0,1,1,53,4
5.38,Id9,1,0,1,1,51,2
5.75,Id9,1,0,1,1,44,7
5.88,Id9,1,0,1,1,56,7
6.12,Id9,1,0,1,1,54,5
6.25,Id9,1,0,1,1,53,4
6.38,Id9,1,0,1,1,53,4
6.5,Id9,1,0,1,1,51,2
6.62,Id9,1,0,1,1,49,0
6.88,Id9,1,0,1,1,49,0
7.0,Id9,1,0,1,1,53,4
7.12,Id9,1,0,1,1,53,4
7.19,Id9,1,0,1,1,51,2
7.25,Id9,1,0,1,1,49,0
8.62,Id9,1,0,1,1,56,7
8.75,Id9,1,0,1,1,58,9
8.88,Id9,1,0,1,1,60,11
9.0,Id9,1,0,1,1,61,0
9.0,ii,3,2,2,1,61,0
9.25,ii,3,2,2,1,60,11
9.38,ii,3,2,2,1,61,0
9.5,ii,3,2,2,1,60,11
9.62,ii,3,2,2,1,56,7
10.0,iii,5,4,3,1,56,7
10.88,iii,5,4,3,1,56,7
11.0,IV,6,5,4,1,56,7
11.0,IV,6,5,4,1,65,4
11.19,IV,6,5,4,1,63,2
12.0,I64,1,0,1,1,63,2
12.0,I64,1,0,1,1,65,4
12.19,I64,1,0,1,1,63,2
12.38,I64,1,0,1,1,61,0
12.5,V,8,7,5,1,61,0
12.5,V,8,7,5,1,65,4
12.62,V,8,7,5,1,63,2
12.75,V,8,7,5,1,65,4
12.81,V,8,7,5,1,63,2
12.88,V,8,7,5,1,61,0
13.0,I,1,0,1,1,61,0
13.25,I,1,0,1,1,61,0
13.38,I,1,0,1,1,61,0
13.75,I,1,0,1,1,61,0
13.88,I,1,0,1,1,61,0
14.0,ii,3,2,2,1,61,0
14.0,ii,3,2,2,1,63,2
14.25,ii,3,2,2,1,58,9
14.38,ii,3,2,2,1,61,0
14.5,ii,3,2,2,1,63,2
14.62,ii,3,2,2,1,58,9
14.75,ii,3,2,2,1,58,9
15.0,V,8,7,5,1,58,9
15.5,V,8,7,5,1,60,11
15.62,V,8,7,5,1,58,9
15.75,V,8,7,5,1,60,11
15.88,V,8,7,5,1,60,11
16.0,V,8,7,5,1,61,0
16.0,I,1,0,1,1,61,0
16.25,I,1,0,1,1,56,7
16.38,I,1,0,1,1,60,11
16.5,I,1,0,1,1,61,0
16.62,I,1,0,1,1,56,7
16.75,I,1,0,1,1,56,7
16.81,I,1,0,1,1,54,5
16.88,I,1,0,1,1,53,4
17.5,I,1,0,1,1,61,0
17.67,I,1,0,1,1,60,11
17.83,I,1,0,1,1,61,0
18.0,I,1,0,1,1,66,5
18.0,ii,3,2,2,1,66,5
18.25,ii,3,2,2,1,65,4
18.38,ii,3,2,2,1,63,2
18.62,ii,3,2,2,1,61,0
18.75,ii,3,2,2,1,63,2
18.88,ii,3,2,2,1,61,0
19.0,Id9,1,0,1,1,61,0
19.0,Id9,1,0,1,1,59,10
19.38,Id9,1,0,1,1,58,9
19.5,Id9,1,0,1,1,58,9
19.88,Id9,1,0,1,1,56,7
20.0,Id9,1,0,1,1,56,7
20.5,Id9,1,0,1,1,54,5
20.62,Id9,1,0,1,1,56,7
20.75,Id9,1,0,1,1,54,5
20.88,Id9,1,0,1,1,51,2
21.0,Id9,1,0,1,1,53,4
22.62,Id9,1,0,1,1,44,7
22.75,Id9,1,0,1,1,49,0
22.88,Id9,1,0,1,1,54,5
23.0,Id9,1,0,1,1,53,4
23.25,Id9,1,0,1,1,49,0
23.38,Id9,1,0,1,1,47,10
23.62,Id9,1,0,1,1,49,0
23.81,Id9,1,0,1,1,54,5
